"","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"1","ACTON","2018-Q2",599950,2018-04-01,2489.25403018496,479960,689.9425,3179.19653018496,127167.861207398,0.372587049333607
"2","ADELANTO","2018-Q2",225000,2018-04-01,933.548056990776,180000,258.75,1192.29805699078,47691.922279631,0.368351489659866
"3","AGOURA HILLS","2018-Q2",965000,2018-04-01,4003.88388887155,772000,1109.75,5113.63388887155,204545.355554862,0.297565726054524
"4","ALAMEDA","2018-Q2",945000,2018-04-01,3920.90183936126,756000,1086.75,5007.65183936126,200306.07357445,0.198022532387311
"5","ALAMO","2018-Q2",1745000,2018-04-01,7240.18381977291,1396000,2006.75,9246.93381977291,369877.352790916,0.318592240133772
"6","ALHAMBRA","2018-Q2",641500,2018-04-01,2661.64923804259,513200,737.725,3399.37423804259,135974.969521704,0.166073938772736
"7","ALISO VIEJO","2018-Q2",590000,2018-04-01,2447.97046055359,472000,678.5,3126.47046055359,125058.818422144,0.443535270871326
"8","ALPINE","2018-Q2",622000,2018-04-01,2580.74173977006,497600,715.3,3296.04173977006,131841.669590802,0.281450399622733
"9","ALTADENA","2018-Q2",850000,2018-04-01,3526.73710418738,680000,977.5,4504.23710418738,180169.484167495,0.254252058984321
"10","AMERICAN CANYON","2018-Q2",519000,2018-04-01,2153.38418479206,415200,596.85,2750.23418479206,110009.367391682,0.392541330795909
"11","ANAHEIM","2018-Q2",565000,2018-04-01,2344.24289866573,452000,649.75,2993.99289866573,119759.715946629,0.251349281857347
"12","ANDERSON","2018-Q2",227500,2018-04-01,943.920813179562,182000,261.625,1205.54581317956,48221.8325271825,0.368056303912018
"13","ANTELOPE","2018-Q2",350000,2018-04-01,1452.1858664301,280000,402.5,1854.6858664301,74187.4346572038,0.480930359218963
"14","ANTIOCH","2018-Q2",455500,2018-04-01,1889.91617759688,364400,523.825,2413.74117759688,96549.6471038753,0.368461615839017
"15","APPLE VALLEY","2018-Q2",248500,2018-04-01,1031.05196516537,198800,285.775,1316.82696516537,52673.0786066147,0.49308043044186
"16","APTOS","2018-Q2",970000,2018-04-01,4024.62940124912,776000,1115.5,5140.12940124912,205605.176049965,0.140150120964716
"17","ARCADIA","2018-Q2",1107500,2018-04-01,4595.13099163238,886000,1273.625,5868.75599163238,234750.239665295,0.139629905790431
"18","ARCATA","2018-Q2",344453,2018-04-01,1429.17079499842,275562.4,396.12095,1825.29174499842,73011.6697999367,0.223848058002107
"19","ARNOLD","2018-Q2",295000,2018-04-01,1223.9852302768,236000,339.25,1563.2352302768,62529.4092110718,0.458635623597129
"20","ARROYO GRANDE","2018-Q2",652500,2018-04-01,2707.28936527325,522000,750.375,3457.66436527325,138306.57461093,0.227515285038249
"21","ATASCADERO","2018-Q2",5e+05,2018-04-01,2074.55123775728,4e+05,575,2649.55123775728,105982.049510291,0.316087124728175
"22","ATWATER","2018-Q2",270000,2018-04-01,1120.25766838893,216000,310.5,1430.75766838893,57230.3067355573,0.402923343701692
"23","AUBURN","2018-Q2",499900,2018-04-01,2074.13632750973,399920,574.885,2649.02132750973,105960.853100389,0.26564003408407
"24","AZUSA","2018-Q2",448500,2018-04-01,1860.87246026828,358800,515.775,2376.64746026828,95065.8984107312,0.330450453179121
"25","BAKERSFIELD","2018-Q2",239900,2018-04-01,995.369683875943,191920,275.885,1271.25468387594,50850.1873550377,0.591077106149097
"26","BALDWIN PARK","2018-Q2",421500,2018-04-01,1748.84669342939,337200,484.725,2233.57169342939,89342.8677371755,0.285511688094083
"27","BANNING","2018-Q2",260000,2018-04-01,1078.76664363379,208000,299,1377.76664363379,55110.6657453514,0.423428796498215
"28","BARSTOW","2018-Q2",144999,2018-04-01,601.615709847136,115999.2,166.74885,768.364559847136,30734.5823938854,0.597928346098596
"29","BAY POINT","2018-Q2",5e+05,2018-04-01,2074.55123775728,4e+05,575,2649.55123775728,105982.049510291,0.208606194231925
"30","BEAUMONT","2018-Q2",333000,2018-04-01,1381.65112434635,266400,382.95,1764.60112434635,70584.0449738539,0.518520286847543
"31","BELMONT","2018-Q2",1761750,2018-04-01,7309.68128623778,1409400,2026.0125,9335.69378623777,373427.751449511,0.175550987097973
"32","BENICIA","2018-Q2",655000,2018-04-01,2717.66212146204,524000,753.25,3470.91212146204,138836.484858481,0.332015666653506
"33","BERKELEY","2018-Q2",1325000,2018-04-01,5497.56078005679,1060000,1523.75,7021.31078005679,280852.431202272,0.118971051892967
"34","BERMUDA DUNES","2018-Q2",328921.5,2018-04-01,1364.72900989996,263137.2,378.259725,1742.98873489996,69719.5493959985,0.483496214449755
"35","BLOOMINGTON","2018-Q2",342500,2018-04-01,1421.06759786374,274000,393.875,1814.94259786374,72597.7039145495,0.354334440675904
