"","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"1","ACTON","2017-Q1",474500,2017-01-01,1891.92987698658,379600,545.675,2437.60487698658,97504.1950794632,0.489561648056557
"2","ADELANTO","2017-Q1",183000,2017-01-01,729.658940966374,146400,210.45,940.108940966374,37604.3576386549,0.461099762467821
"3","AGOURA HILLS","2017-Q1",762500,2017-01-01,3040.24558735989,610000,876.875,3917.12058735989,156684.823494396,0.349752038929851
"4","ALAMEDA","2017-Q1",840000,2017-01-01,3349.25415525549,672000,966,4315.25415525549,172610.166210219,0.203859171774169
"5","ALAMO","2017-Q1",1615000,2017-01-01,6439.33983421144,1292000,1857.25,8296.58983421144,331863.593368458,0.284169322195458
"6","ALHAMBRA","2017-Q1",550000,2017-01-01,2192.96403022681,440000,632.5,2825.46403022681,113018.561209072,0.203502831778525
"7","ALISO VIEJO","2017-Q1",535000,2017-01-01,2133.15592031153,428000,615.25,2748.40592031153,109936.236812461,0.487107581166396
"8","ALPINE","2017-Q1",480000,2017-01-01,1913.85951728885,384000,552,2465.85951728885,98634.380691554,0.427094552017414
"9","ALTADENA","2017-Q1",806250,2017-01-01,3214.68590794611,645000,927.1875,4141.87340794611,165674.936317845,0.242385270266583
"10","AMERICAN CANYON","2017-Q1",522500,2017-01-01,2083.31582871547,418000,600.875,2684.19082871547,107367.633148619,0.387310027359578
"11","ANAHEIM","2017-Q1",5e+05,2017-01-01,1993.60366384255,4e+05,575,2568.60366384255,102744.146553702,0.296848946369804
"12","ANDERSON","2017-Q1",222000,2017-01-01,885.160026746093,177600,255.3,1140.46002674609,45618.4010698437,0.418349301301806
"13","ANTELOPE","2017-Q1",305000,2017-01-01,1216.09823494396,244000,350.75,1566.84823494396,62673.9293977582,0.535591322268939
"14","ANTIOCH","2017-Q1",394000,2017-01-01,1570.95968710793,315200,453.1,2024.05968710793,80962.3874843172,0.446620952789348
"15","APPLE VALLEY","2017-Q1",230000,2017-01-01,917.057685367573,184000,264.5,1181.55768536757,47262.3074147029,0.504701119183572
"16","APTOS","2017-Q1",840000,2017-01-01,3349.25415525549,672000,966,4315.25415525549,172610.166210219,0.208786550153279
"17","ARCADIA","2017-Q1",1100000,2017-01-01,4385.92806045361,880000,1265,5650.92806045361,226037.122418144,0.126367626310369
"18","ARCATA","2017-Q1",360000,2017-01-01,1435.39463796664,288000,414,1849.39463796664,73975.7855186655,0.198386375770138
"19","ARNOLD","2017-Q1",290000,2017-01-01,1156.29012502868,232000,333.5,1489.79012502868,59591.6050011472,0.556978402947739
"20","ARROYO GRANDE","2017-Q1",614500,2017-01-01,2450.13890286249,491600,706.675,3156.8139028625,126272.5561145,0.227525156635782
"21","ATASCADERO","2017-Q1",449000,2017-01-01,1790.25609013061,359200,516.35,2306.60609013061,92264.2436052244,0.371116113939891
"22","ATWATER","2017-Q1",238000,2017-01-01,948.955343989054,190400,273.7,1222.65534398905,48906.2137595622,0.480015730443428
"23","AUBURN","2017-Q1",419500,2017-01-01,1672.6334739639,335600,482.425,2155.0584739639,86202.338958556,0.319093376487365
"24","AZUSA","2017-Q1",405000,2017-01-01,1614.81896771247,324000,465.75,2080.56896771247,83222.7587084987,0.347820307613035
"25","BAKERSFIELD","2017-Q1",216990,2017-01-01,865.18411803439,173592,249.5385,1114.72261803439,44588.9047213756,0.608994221990522
"26","BALDWIN PARK","2017-Q1",372500,2017-01-01,1485.2347295627,298000,428.375,1913.6097295627,76544.389182508,0.32560652372299
"27","BANNING","2017-Q1",229900,2017-01-01,916.658964634805,183920,264.385,1181.0439646348,47241.7585853922,0.460551331485761
"28","BARSTOW","2017-Q1",112950,2017-01-01,450.355067662032,90360,129.8925,580.247567662032,23209.9027064813,0.656144754045466
"29","BAY POINT","2017-Q1",338500,2017-01-01,1349.66968042141,270800,389.275,1738.94468042141,69557.7872168563,0.360365836032173
"30","BEAUMONT","2017-Q1",3e+05,2017-01-01,1196.16219830553,240000,345,1541.16219830553,61646.4879322212,0.555301304603502
"31","BELMONT","2017-Q1",1570000,2017-01-01,6259.91550446561,1256000,1805.5,8065.41550446561,322616.620178624,0.18468705293387
"32","BENICIA","2017-Q1",538000,2017-01-01,2145.11754229458,430400,618.7,2763.81754229458,110552.701691783,0.415609970122502
"33","BERKELEY","2017-Q1",1072500,2017-01-01,4276.27985894227,858000,1233.375,5509.65485894227,220386.194357691,0.134536823590602
"34","BERMUDA DUNES","2017-Q1",302500,2017-01-01,1206.13021662474,242000,347.875,1554.00521662474,62160.2086649897,0.489236015973467
"35","BLOOMINGTON","2017-Q1",290000,2017-01-01,1156.29012502868,232000,333.5,1489.79012502868,59591.6050011472,0.439292796094736
"36","BONITA","2017-Q1",621800,2017-01-01,2479.2455163546,497440,715.07,3194.3155163546,127772.620654184,0.354684064720437
"37","BOULDER CREEK","2017-Q1",575000,2017-01-01,2292.64421341893,460000,661.25,2953.89421341893,118155.768536757,0.350110951818278
"38","BREA","2017-Q1",686250,2017-01-01,2736.2210286239,549000,789.1875,3525.4085286239,141016.341144956,0.251982096738017
"39","BRENTWOOD","2017-Q1",555000,2017-01-01,2212.90006686523,444000,638.25,2851.15006686523,114046.002674609,0.401123589331032
"40","BUENA PARK","2017-Q1",545000,2017-01-01,2173.02799358838,436000,626.75,2799.77799358838,111991.119743535,0.279231125921618
"41","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"42","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"43","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"44","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"45","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"46","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"47","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"48","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"49","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"50","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"51","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"52","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"53","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"54","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"55","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
