X,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
,ACTON,2018-Q2,599950,4/1/2018,2489.25403,479960,689.9425,3179.19653,127167.8612,0.372587049
,ADELANTO,2018-Q2,2.25E+05,4/1/2018,933.548057,1.80E+05,258.75,1192.298057,47691.92228,0.36835149
,AGOURA HILLS,2018-Q2,9.65E+05,4/1/2018,4003.883889,7.72E+05,1109.75,5113.633889,204545.3556,0.297565726
,ALAMEDA,2018-Q2,9.45E+05,4/1/2018,3920.901839,7.56E+05,1086.75,5007.651839,200306.0736,0.198022532
,ALAMO,2018-Q2,1.75E+06,4/1/2018,7240.18382,1.40E+06,2006.75,9246.93382,369877.3528,0.31859224
,ALHAMBRA,2018-Q2,641500,4/1/2018,2661.649238,513200,737.725,3399.374238,135974.9695,0.166073939
,ALISO VIEJO,2018-Q2,5.90E+05,4/1/2018,2447.970461,4.72E+05,678.5,3126.470461,125058.8184,0.443535271
,ALPINE,2018-Q2,6.22E+05,4/1/2018,2580.74174,497600,715.3,3296.04174,131841.6696,0.2814504
,ALTADENA,2018-Q2,8.50E+05,4/1/2018,3526.737104,6.80E+05,977.5,4504.237104,180169.4842,0.254252059
,AMERICAN CANYON,2018-Q2,5.19E+05,4/1/2018,2153.384185,415200,596.85,2750.234185,110009.3674,0.392541331
,ANAHEIM,2018-Q2,5.65E+05,4/1/2018,2344.242899,4.52E+05,649.75,2993.992899,119759.7159,0.251349282
,ANDERSON,2018-Q2,227500,4/1/2018,943.9208132,1.82E+05,261.625,1205.545813,48221.83253,0.368056304
,ANTELOPE,2018-Q2,3.50E+05,4/1/2018,1452.185866,2.80E+05,402.5,1854.685866,74187.43466,0.480930359
,ANTIOCH,2018-Q2,455500,4/1/2018,1889.916178,364400,523.825,2413.741178,96549.6471,0.368461616
,APPLE VALLEY,2018-Q2,248500,4/1/2018,1031.051965,198800,285.775,1316.826965,52673.07861,0.49308043
,APTOS,2018-Q2,9.70E+05,4/1/2018,4024.629401,7.76E+05,1115.5,5140.129401,205605.176,0.140150121
,ARCADIA,2018-Q2,1107500,4/1/2018,4595.130992,8.86E+05,1273.625,5868.755992,234750.2397,0.139629906
,ARCATA,2018-Q2,344453,4/1/2018,1429.170795,275562.4,396.12095,1825.291745,73011.6698,0.223848058
,ARNOLD,2018-Q2,2.95E+05,4/1/2018,1223.98523,2.36E+05,339.25,1563.23523,62529.40921,0.458635624
,ARROYO GRANDE,2018-Q2,652500,4/1/2018,2707.289365,5.22E+05,750.375,3457.664365,138306.5746,0.227515285
,ATASCADERO,2018-Q2,5.00E+05,4/1/2018,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.316087125
,ATWATER,2018-Q2,2.70E+05,4/1/2018,1120.257668,2.16E+05,310.5,1430.757668,57230.30674,0.402923344
,AUBURN,2018-Q2,499900,4/1/2018,2074.136328,399920,574.885,2649.021328,105960.8531,0.265640034
,AZUSA,2018-Q2,448500,4/1/2018,1860.87246,358800,515.775,2376.64746,95065.89841,0.330450453
,BAKERSFIELD,2018-Q2,239900,4/1/2018,995.3696839,191920,275.885,1271.254684,50850.18736,0.591077106
,BALDWIN PARK,2018-Q2,421500,4/1/2018,1748.846693,337200,484.725,2233.571693,89342.86774,0.285511688
,BANNING,2018-Q2,2.60E+05,4/1/2018,1078.766644,2.08E+05,299,1377.766644,55110.66575,0.423428796
,BARSTOW,2018-Q2,144999,4/1/2018,601.6157098,115999.2,166.74885,768.3645598,30734.58239,0.597928346
,BAY POINT,2018-Q2,5.00E+05,4/1/2018,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.208606194
,BEAUMONT,2018-Q2,3.33E+05,4/1/2018,1381.651124,266400,382.95,1764.601124,70584.04497,0.518520287
,BELMONT,2018-Q2,1761750,4/1/2018,7309.681286,1409400,2026.0125,9335.693786,373427.7514,0.175550987
,BENICIA,2018-Q2,6.55E+05,4/1/2018,2717.662121,5.24E+05,753.25,3470.912121,138836.4849,0.332015667
,BERKELEY,2018-Q2,1.33E+06,4/1/2018,5497.56078,1.06E+06,1523.75,7021.31078,280852.4312,0.118971052
,BERMUDA DUNES,2018-Q2,328921.5,4/1/2018,1364.72901,263137.2,378.259725,1742.988735,69719.5494,0.483496214
,BLOOMINGTON,2018-Q2,342500,4/1/2018,1421.067598,2.74E+05,393.875,1814.942598,72597.70391,0.354334441
,BONITA,2018-Q2,7.10E+05,4/1/2018,2945.862758,5.68E+05,816.5,3762.362758,150494.5103,0.263649828
,BOULDER CREEK,2018-Q2,6.20E+05,4/1/2018,2572.443535,4.96E+05,713,3285.443535,131417.7414,0.244119439
,BREA,2018-Q2,699999,4/1/2018,2904.367584,559999.2,804.99885,3709.366434,148374.6574,0.265698066
,BRENTWOOD,2018-Q2,5.95E+05,4/1/2018,2468.715973,4.76E+05,684.25,3152.965973,126118.6389,0.40758808
,BUENA PARK,2018-Q2,585500,4/1/2018,2429.299499,468400,673.325,3102.624499,124104.98,0.229681861
,BURBANK,2018-Q2,806500,4/1/2018,3346.251147,645200,927.475,4273.726147,170949.0459,0.31606223
,BURLINGAME,2018-Q2,2337500,4/1/2018,9698.527037,1.87E+06,2688.125,12386.65204,495466.0815,0.119335127
,CALABASAS,2018-Q2,1.15E+06,4/1/2018,4767.318744,919200,1321.35,6088.668744,243546.7498,0.258672756
,CALIFORNIA CITY,2018-Q2,154900,4/1/2018,642.6959735,123920,178.135,820.8309735,32833.23894,0.672850363
,CAMARILLO,2018-Q2,620500,4/1/2018,2574.518086,496400,713.575,3288.093086,131523.7234,0.356635887
,CAMBRIA,2018-Q2,752750,4/1/2018,3123.236888,602200,865.6625,3988.899388,159555.9755,0.152862356
,CAMERON PARK,2018-Q2,492400,4/1/2018,2043.018059,393920,566.26,2609.278059,104371.1224,0.420309171
,CAMPBELL,2018-Q2,1.43E+06,4/1/2018,5933.21654,1.14E+06,1644.5,7577.71654,303108.6616,0.131840767
,CANYON LAKE,2018-Q2,477500,4/1/2018,1981.196432,3.82E+05,549.125,2530.321432,101212.8573,0.356853567
,CARLSBAD,2018-Q2,8.75E+05,4/1/2018,3630.464666,7.00E+05,1006.25,4636.714666,185468.5866,0.248741097
,CARMICHAEL,2018-Q2,416500,4/1/2018,1728.101181,333200,478.975,2207.076181,88283.04724,0.377969325
,CARSON,2018-Q2,5.45E+05,4/1/2018,2261.260849,4.36E+05,626.75,2888.010849,115520.434,0.310162852
,CASTRO VALLEY,2018-Q2,8.95E+05,4/1/2018,3713.446716,7.16E+05,1029.25,4742.696716,189707.8686,0.215600713
,CATHEDRAL CITY,2018-Q2,2.92E+05,4/1/2018,1211.537923,233600,335.8,1547.337923,61893.51691,0.393546567
,CERES,2018-Q2,2.97E+05,4/1/2018,1232.283435,237600,341.55,1573.833435,62953.33741,0.465731571
,CHICO,2018-Q2,3.39E+05,4/1/2018,1406.545739,271200,389.85,1796.395739,71855.82957,0.362119103
,CHINO,2018-Q2,4.80E+05,4/1/2018,1991.569188,3.84E+05,552,2543.569188,101742.7675,0.368976023
,CHINO HILLS,2018-Q2,639900,4/1/2018,2655.010674,511920,735.885,3390.895674,135635.827,0.351795248
,CHOWCHILLA,2018-Q2,2.35E+05,4/1/2018,975.0390817,1.88E+05,270.25,1245.289082,49811.56327,0.406964557
,CHULA VISTA,2018-Q2,5.00E+05,4/1/2018,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.307855599
,CITRUS HEIGHTS,2018-Q2,330900,4/1/2018,1372.938009,264720,380.535,1753.473009,70138.92037,0.400220003
,CLAREMONT,2018-Q2,682500,4/1/2018,2831.76244,5.46E+05,784.875,3616.63744,144665.4976,0.32835763
,CLAYTON,2018-Q2,772500,4/1/2018,3205.181662,6.18E+05,888.375,4093.556662,163742.2665,0.411099088
,CLEARLAKE,2018-Q2,153500,4/1/2018,636.88723,122800,176.525,813.41223,32536.4892,0.445524668
,CLOVERDALE,2018-Q2,553500,4/1/2018,2296.52822,442800,636.525,2933.05322,117322.1288,0.278256949
,CLOVIS,2018-Q2,3.40E+05,4/1/2018,1410.694842,2.72E+05,391,1801.694842,72067.79367,0.504044947
,COACHELLA,2018-Q2,253500,4/1/2018,1051.797478,202800,291.525,1343.322478,53732.8991,0.3772875
,COALINGA,2018-Q2,217375,4/1/2018,901.9111506,173900,249.98125,1151.892401,46075.69602,0.571694868
,COARSEGOLD,2018-Q2,3.10E+05,4/1/2018,1286.221767,2.48E+05,356.5,1642.721767,65708.8707,0.44115437
,COLFAX,2018-Q2,336250,4/1/2018,1395.135707,2.69E+05,386.6875,1781.823207,71272.9283,0.495282917
,COLTON,2018-Q2,3.00E+05,4/1/2018,1244.730743,2.40E+05,345,1589.730743,63589.22971,0.352942244
,COMPTON,2018-Q2,3.90E+05,4/1/2018,1618.149965,3.12E+05,448.5,2066.649965,82665.99862,0.257143559
,CONCORD,2018-Q2,6.19E+05,4/1/2018,2568.294432,495200,711.85,3280.144432,131205.7773,0.272923022
,COPPEROPOLIS,2018-Q2,3.33E+05,4/1/2018,1381.651124,266400,382.95,1764.601124,70584.04497,0.484042983
,CORONA,2018-Q2,487250,4/1/2018,2021.650181,389800,560.3375,2581.987681,103279.5072,0.387324117
,CORONADO,2018-Q2,1.61E+06,4/1/2018,6659.309473,1.28E+06,1845.75,8505.059473,340202.3789,0.115768336
,COSTA MESA,2018-Q2,8.35E+05,4/1/2018,3464.500567,6.68E+05,960.25,4424.750567,176990.0227,0.150335702
,COTO DE CAZA,2018-Q2,1.29E+06,4/1/2018,5331.596681,1.03E+06,1477.75,6809.346681,272373.8672,0.322584492
