,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
1,ACTON,2018-Q2,599950,4/1/2018,2489.25403,479960,689.9425,3179.19653,127167.8612,0.372587049
379,ACTON,2018-Q1,610000,1/1/2018,2530.95251,488000,701.5,3232.45251,129298.1004,0.362387848
757,ACTON,2017-Q2,524750,4/1/2017,2177.241524,419800,603.4625,2780.704024,111228.161,0.427203941
1,ACTON,2017-Q4,599950,10/1/2017,2489.25403,479960,689.9425,3179.19653,127167.8612,0.372587049
379,ACTON,2017-Q3,610000,7/1/2017,2530.95251,488000,701.5,3232.45251,129298.1004,0.362387848
1,ACTON,2017-Q1,474500,1/1/2017,1891.929877,379600,545.675,2437.604877,97504.19508,0.489561648
2,ADELANTO,2018-Q2,225000,4/1/2018,933.548057,180000,258.75,1192.298057,47691.92228,0.36835149
380,ADELANTO,2018-Q1,215000,1/1/2018,892.0570322,172000,247.25,1139.307032,45572.28129,0.391071622
758,ADELANTO,2017-Q2,198250,4/1/2017,822.5595658,158600,227.9875,1050.547066,42021.88263,0.413724675
2,ADELANTO,2017-Q4,225000,10/1/2017,933.548057,180000,258.75,1192.298057,47691.92228,0.36835149
380,ADELANTO,2017-Q3,215000,7/1/2017,892.0570322,172000,247.25,1139.307032,45572.28129,0.391071622
2,ADELANTO,2017-Q1,183000,1/1/2017,729.658941,146400,210.45,940.108941,37604.35764,0.461099762
3,AGOURA HILLS,2018-Q2,965000,4/1/2018,4003.883889,772000,1109.75,5113.633889,204545.3556,0.297565726
381,AGOURA HILLS,2018-Q1,782500,1/1/2018,3246.672687,626000,899.875,4146.547687,165861.9075,0.391128991
759,AGOURA HILLS,2017-Q2,1050000,4/1/2017,4356.557599,840000,1207.5,5564.057599,222562.304,0.217601305
3,AGOURA HILLS,2017-Q4,965000,10/1/2017,4003.883889,772000,1109.75,5113.633889,204545.3556,0.297565726
381,AGOURA HILLS,2017-Q3,782500,7/1/2017,3246.672687,626000,899.875,4146.547687,165861.9075,0.391128991
3,AGOURA HILLS,2017-Q1,762500,1/1/2017,3040.245587,610000,876.875,3917.120587,156684.8235,0.349752039
4,ALAMEDA,2018-Q2,945000,4/1/2018,3920.901839,756000,1086.75,5007.651839,200306.0736,0.198022532
382,ALAMEDA,2018-Q1,854995,1/1/2018,3547.461871,683996,983.24425,4530.706121,181228.2448,0.23950463
760,ALAMEDA,2017-Q2,903000,4/1/2017,3746.639535,722400,1038.45,4785.089535,191403.5814,0.167970733
4,ALAMEDA,2017-Q4,945000,10/1/2017,3920.901839,756000,1086.75,5007.651839,200306.0736,0.198022532
382,ALAMEDA,2017-Q3,854995,7/1/2017,3547.461871,683996,983.24425,4530.706121,181228.2448,0.23950463
4,ALAMEDA,2017-Q1,840000,1/1/2017,3349.254155,672000,966,4315.254155,172610.1662,0.203859172
5,ALAMO,2018-Q2,1745000,4/1/2018,7240.18382,1396000,2006.75,9246.93382,369877.3528,0.31859224
383,ALAMO,2018-Q1,1695000,1/1/2018,7032.728696,1356000,1949.25,8981.978696,359279.1478,0.323813658
761,ALAMO,2017-Q2,1635000,4/1/2017,6783.782547,1308000,1880.25,8664.032547,346561.3019,0.276297355
5,ALAMO,2017-Q4,1745000,10/1/2017,7240.18382,1396000,2006.75,9246.93382,369877.3528,0.31859224
383,ALAMO,2017-Q3,1695000,7/1/2017,7032.728696,1356000,1949.25,8981.978696,359279.1478,0.323813658
5,ALAMO,2017-Q1,1615000,1/1/2017,6439.339834,1292000,1857.25,8296.589834,331863.5934,0.284169322
6,ALHAMBRA,2018-Q2,641500,4/1/2018,2661.649238,513200,737.725,3399.374238,135974.9695,0.166073939
384,ALHAMBRA,2018-Q1,638000,1/1/2018,2647.127379,510400,733.7,3380.827379,135233.0952,0.165973898
762,ALHAMBRA,2017-Q2,590000,4/1/2017,2447.970461,472000,678.5,3126.470461,125058.8184,0.164253876
6,ALHAMBRA,2017-Q4,641500,10/1/2017,2661.649238,513200,737.725,3399.374238,135974.9695,0.166073939
384,ALHAMBRA,2017-Q3,638000,7/1/2017,2647.127379,510400,733.7,3380.827379,135233.0952,0.165973898
6,ALHAMBRA,2017-Q1,550000,1/1/2017,2192.96403,440000,632.5,2825.46403,113018.5612,0.203502832
7,ALISO VIEJO,2018-Q2,590000,4/1/2018,2447.970461,472000,678.5,3126.470461,125058.8184,0.443535271
385,ALISO VIEJO,2018-Q1,594900,1/1/2018,2468.301063,475920,684.135,3152.436063,126097.4425,0.436945613
763,ALISO VIEJO,2017-Q2,580500,4/1/2017,2408.553987,464400,667.575,3076.128987,123045.1595,0.426987598
