"","region","Price.2017-Q2","Price.2017-Q1.x","principal.2017-Q2","pmt.2017-Q2","t_i.2017-Q2","pti.2017-Q2","min_inc.2017-Q2","HAI.2017-Q2","Price.2017-Q1.y","principal.2017-Q1","pmt.2017-Q1","t_i.2017-Q1","pti.2017-Q1","min_inc.2017-Q1","HAI.2017-Q1"
"1","ACAMPO",520000,525500,416000,2007.69275842623,598,2605.69275842623,104227.710337049,0.409401109930891,525500,420400,2095.27745069852,604.325,2699.60245069852,107984.098027941,0.392836484745592
"2","ACTON",524750,474500,419800,2026.03225958493,603.4625,2629.49475958493,105179.790383397,0.453018386643661,474500,379600,1891.92987698658,545.675,2437.60487698658,97504.1950794632,0.489561648056557
"3","ADELANTO",198250,183000,158600,765.43286415,227.9875,993.42036415,39736.814566,0.4385557483828,183000,146400,729.658940966374,210.45,940.108940966374,37604.3576386549,0.461099762467821
"4","ADIN",235000,145000,188000,907.322688904161,270.25,1177.57268890416,47102.9075561664,0.440608665293871,145000,116000,578.14506251434,166.75,744.89506251434,29795.8025005736,0.678204134170038
"5","AGOURA HILLS",1050000,762500,840000,4053.99499297604,1207.5,5261.49499297604,210459.799719042,0.234271294466992,762500,610000,3040.24558735989,876.875,3917.12058735989,156684.823494396,0.349752038929851
"6","AGUA DULCE",690000,620000,552000,2664.05385252711,793.5,3457.55385252711,138302.154101084,0.244135619653983,620000,496000,2472.06854316476,713,3185.06854316476,127402.741726591,0.294849532653083
"7","AGUANGA",366000,315000,292800,1413.10682612308,420.9,1834.00682612308,73360.2730449231,0.313532027015724,315000,252000,1255.97030822081,362.25,1618.22030822081,64728.8123288323,0.38282943510714
"8","AHWAHNEE",282000,399000,225600,1088.78722668499,324.3,1413.08722668499,56523.4890673997,0.469859048124817,399000,319200,1590.89572374636,458.85,2049.74572374636,81989.8289498542,0.312024619775344
"9","ALAMEDA",903000,840000,722400,3486.43569395939,1038.45,4524.88569395939,180995.427758376,0.189113856651636,840000,672000,3349.25415525549,966,4315.25415525549,172610.166210219,0.203859171774169
"10","ALAMO",1635000,1615000,1308000,6312.64934620554,1880.25,8192.89934620554,327715.973848222,0.288628229671632,1615000,1292000,6439.33983421144,1857.25,8296.58983421144,331863.593368458,0.284169322195458
