"","region","Price.2017-Q4","Price.2017-Q3","principal.2017-Q4","pmt.2017-Q4","t_i.2017-Q4","pti.2017-Q4","min_inc.2017-Q4","HAI.2017-Q4","principal.2017-Q3","pmt.2017-Q3","t_i.2017-Q3","pti.2017-Q3","min_inc.2017-Q3","HAI.2017-Q3"
"1","ACAMPO",575000,622500,460000,2385.73392342087,661.25,3046.98392342087,121879.356936835,0.313776741560708,498000,2582.81629100781,715.875,3298.69129100781,131947.651640313,0.275979058009201
"2","ACTON",599950,610000,479960,2489.25403018496,689.9425,3179.19653018496,127167.861207398,0.372587049333607,488000,2530.95251006388,701.5,3232.45251006388,129298.100402555,0.362387848006023
"3","ADELANTO",225000,215000,180000,933.548056990776,258.75,1192.29805699078,47691.922279631,0.368351489659866,172000,892.05703223563,247.25,1139.30703223563,45572.2812894252,0.391071622260515
"4","AGOURA HILLS",965000,782500,772000,4003.88388887155,1109.75,5113.63388887155,204545.355554862,0.297565726054524,626000,3246.67268709014,899.875,4146.54768709014,165861.907483606,0.391128991344393
"5","AGUA DULCE",650000,635000,520000,2696.91660908446,747.5,3444.41660908446,137776.664363379,0.368498242096328,508000,2634.68007195175,730.25,3364.93007195175,134597.20287807,0.378611966402792
"6","AGUANGA",385000,397000,308000,1597.40445307311,442.75,2040.15445307311,81606.1781229242,0.345024924152873,317600,1647.19368277928,456.55,2103.74368277928,84149.7473111712,0.326225031126666
"7","AHWAHNEE",234750,490000,187800,974.001806127043,269.9625,1243.96430612704,49758.5722450817,0.578508639911619,392000,2033.06021300213,563.5,2596.56021300213,103862.408520085,0.254124374940319
"8","ALAMEDA",945000,854995,756000,3920.90183936126,1086.75,5007.65183936126,200306.07357445,0.198022532387311,683996,3547.46187105257,983.24425,4530.70612105257,181228.244842103,0.239504630003311
"9","ALAMO",1745000,1695000,1396000,7240.18381977291,2006.75,9246.93381977291,369877.352790916,0.318592240133772,1356000,7032.72869599718,1949.25,8981.97869599718,359279.147839887,0.323813657996764
"10","ALBANY",950000,1055000,760000,3941.64735173883,1092.5,5034.14735173883,201365.894069553,0.201878173536822,844000,4377.30311166786,1213.25,5590.55311166786,223622.124466714,0.172202309774648
"11","ALDERPOINT",302000,670000,241600,1253.0289476054,347.3,1600.3289476054,64013.1579042159,0.169332923502541,536000,2779.89865859476,770.5,3550.39865859476,142015.94634379,0.0199460558191773
"12","ALHAMBRA",641500,638000,513200,2661.64923804259,737.725,3399.37423804259,135974.969521704,0.166073938772736,510400,2647.12737937829,733.7,3380.82737937829,135233.095175132,0.165973897572814
"13","ALISO VIEJO",590000,594900,472000,2447.97046055359,678.5,3126.47046055359,125058.818422144,0.443535270871326,475920,2468.30106268361,684.135,3152.43606268361,126097.442507344,0.436945612636949
"14","ALPINE",622000,604500,497600,2580.74173977006,715.3,3296.04173977006,131841.669590802,0.281450399622733,483600,2508.13244644855,695.175,3203.30744644855,128132.297857942,0.294833173421265
"15","ALTA",258000,437250,206400,1070.46843868276,296.7,1367.16843868276,54686.7375473103,0.490033167274992,349800,1814.19505741874,502.8375,2317.03255741874,92681.3022967497,0.25494525108698
"16","ALTADENA",850000,860000,680000,3526.73710418738,977.5,4504.23710418738,180169.484167495,0.254252058984321,688000,3568.22812894252,989,4557.22812894252,182289.125157701,0.246833525237514
"17","AMERICAN CANYON",519000,515000,415200,2153.38418479206,596.85,2750.23418479206,110009.367391682,0.392541330795909,412000,2136.78777489,592.25,2729.03777489,109161.5109956,0.393298429469819
"18","ANAHEIM",565000,547000,452000,2344.24289866573,649.75,2993.99289866573,119759.715946629,0.251349281857347,437600,2269.55905410646,629.05,2898.60905410646,115944.362164259,0.264858493146127
"19","ANDERSON",227500,227950,182000,943.920813179562,261.625,1205.54581317956,48221.8325271825,0.368056303912018,182360,945.787909293544,262.1425,1207.93040929354,48317.2163717418,0.364557784250459
"20","ANGWIN",501500,970000,401200,2080.77489147055,576.725,2657.49989147055,106299.995658822,0.385110695128038,776000,4024.62940124912,1115.5,5140.12940124912,205605.176049965,0.121817649537082
"21","ANTELOPE",350000,330000,280000,1452.1858664301,402.5,1854.6858664301,74187.4346572038,0.480930359218963,264000,1369.2038169198,379.5,1748.7038169198,69948.1526767922,0.511144897274357
"22","ANTIOCH",455500,420000,364400,1889.91617759688,523.825,2413.74117759688,96549.6471038753,0.368461615839017,336000,1742.62303971612,483,2225.62303971612,89024.9215886446,0.409023141643301
"23","ANZA",282500,482500,226000,1172.12144933286,324.875,1496.99644933286,59879.8579733145,0.378820407388334,386000,2001.94194443577,554.875,2556.81694443577,102272.677777431,0.146730536767797
"24","APPLE VALLEY",248500,255250,198800,1031.05196516537,285.775,1316.82696516537,52673.0786066147,0.49308043044186,204200,1059.05840687509,293.5375,1352.59590687509,54103.8362750037,0.481358821953979
"25","APTOS",970000,840000,776000,4024.62940124912,1115.5,5140.12940124912,205605.176049965,0.140150120964716,672000,3485.24607943223,966,4451.24607943223,178049.843177289,0.203344358657987
"26","ARCADIA",1107500,972750,886000,4595.13099163238,1273.625,5868.75599163238,234750.239665295,0.139629905790431,778200,4036.03943305679,1118.6625,5154.70193305679,206188.077322272,0.174093682723393
"27","ARCATA",344453,301000,275562.4,1429.17079499842,396.12095,1825.29174499842,73011.6697999367,0.223848058002107,240800,1248.87984512988,346.15,1595.02984512988,63801.1938051953,0.272724918496553
"28","ARMONA",161500,156000,129200,670.080049795601,185.725,855.805049795601,34232.2019918241,0.627735805151995,124800,647.259986180271,179.4,826.659986180271,33066.3994472109,0.640513294444414
"29","ARNOLD",295000,292060,236000,1223.9852302768,339.25,1563.2352302768,62529.4092110718,0.458635623597129,233648,1211.78686899878,335.869,1547.65586899878,61906.2347599513,0.462360051014376
"30","AROMAS",802500,585000,642000,3329.65473660044,922.875,4252.52973660044,170101.189464017,0.183807378991324,468000,2427.22494817602,672.75,3099.97494817602,123998.997927041,0.339478207541841
"31","ARROYO GRANDE",652500,7e+05,522000,2707.28936527325,750.375,3457.66436527325,138306.57461093,0.227515285038249,560000,2904.37173286019,805,3709.37173286019,148374.869314408,0.19151874961941
"32","ARTESIA",463750,498500,371000,1924.14627301988,533.3125,2457.45877301988,98298.3509207951,0.359243174985676,398800,2068.32758404401,573.275,2641.60258404401,105664.10336176,0.322780457383669
"33","ARTOIS",175000,522500,140000,726.092933215048,201.25,927.342933215048,37093.7173286019,0.688900190562371,418000,2167.90604345636,600.875,2768.78104345636,110751.241738254,0.246684732813572
"34","ARVIN",190500,522500,152400,790.404021585524,219.075,1009.47902158552,40379.1608634209,0.50231002173694,418000,2167.90604345636,600.875,2768.78104345636,110751.241738254,0.0770356560150324
"35","ATASCADERO",5e+05,522500,4e+05,2074.55123775728,575,2649.55123775728,105982.049510291,0.316087124728175,418000,2167.90604345636,600.875,2768.78104345636,110751.241738254,0.291707565783111
"36","ATHERTON",6650000,8500000,5320000,27591.5314621718,7647.5,35239.0314621718,1409561.25848687,0,6800000,35267.3710418738,9775,45042.3710418738,1801694.84167495,0
"37","ATWATER",270000,245000,216000,1120.25766838893,310.5,1430.75766838893,57230.3067355573,0.402923343701692,196000,1016.53010650107,281.75,1298.28010650107,51931.2042600427,0.43932495312038
"38","AUBERRY",214000,235000,171200,887.907929760116,246.1,1134.00792976012,45360.3171904046,0.585503415794074,188000,975.039081745922,270.25,1245.28908174592,49811.5632698369,0.547547300330671
"39","AUBURN",499900,464000,399920,2074.13632750973,574.885,2649.02132750973,105960.853100389,0.26564003408407,371200,1925.18354863876,533.6,2458.78354863876,98351.3419455502,0.290851431902489
"40","AVALON",595000,560000,476000,2468.71597293116,684.25,3152.96597293116,126118.638917247,0.251601333342441,448000,2323.49738628815,644,2967.49738628815,118699.895451526,0.275829877037501
"41","AVENAL",139000,135500,111200,576.725244096524,159.85,736.575244096524,29463.009763861,0.622218825067269,108400,562.203385432223,155.825,718.028385432223,28721.1354172889,0.632223464702843
"42","AZUSA",448500,432000,358800,1860.87246026828,515.775,2376.64746026828,95065.8984107312,0.330450453179121,345600,1792.41226942229,496.8,2289.21226942229,91568.4907768916,0.346787577022236
"43","BAKERSFIELD",239900,226300,191920,995.369683875943,275.885,1271.25468387594,50850.1873550377,0.591077106149097,181040,938.941890208945,260.245,1199.18689020894,47967.4756083578,0.610412442917095
"44","BALDWIN PARK",421500,461000,337200,1748.84669342939,484.725,2233.57169342939,89342.8677371755,0.285511688094083,368800,1912.73624121221,530.15,2442.88624121221,97715.4496484885,0.233269745798049
"45","BALLICO",130000,250000,104000,539.383321816893,149.5,688.883321816893,27555.3328726757,0.700797797116429,2e+05,1037.27561887864,287.5,1324.77561887864,52991.0247551456,0.453576520343346
"46","BANGOR",301500,250000,241200,1250.95439636764,346.725,1597.67939636764,63907.1758547056,0.386333736169376,2e+05,1037.27561887864,287.5,1324.77561887864,52991.0247551456,0.44173277407096
"47","BANNING",260000,250000,208000,1078.76664363379,299,1377.76664363379,55110.6657453514,0.423428796498215,2e+05,1037.27561887864,287.5,1324.77561887864,52991.0247551456,0.439159318780229
"48","BARSTOW",144999,129150,115999.2,601.615709847136,166.74885,768.364559847136,30734.5823938854,0.597928346098596,103320,535.856584712705,148.5225,684.379084712705,27375.1633885082,0.626172780795344
"49","BASS LAKE",410000,662500,328000,1701.13201496097,471.5,2172.63201496097,86905.2805984388,0.258353934481176,530000,2748.7803900284,761.875,3510.6553900284,140426.215601136,0.13724039499048
"50","BAY POINT",5e+05,410000,4e+05,2074.55123775728,575,2649.55123775728,105982.049510291,0.208606194231925,328000,1701.13201496097,471.5,2172.63201496097,86905.2805984388,0.297287202043586
"51","BEAR VALLEY",274450,499000,219560,1138.72117440497,315.6175,1454.33867440497,58173.5469761988,0.427621591939486,399200,2070.40213528177,573.85,2644.25213528177,105770.085411271,0.143231449660151
"52","BEAUMONT",333000,318250,266400,1381.65112434635,382.95,1764.60112434635,70584.0449738539,0.518520286847543,254600,1320.45186283251,365.9875,1686.43936283251,67457.5745133004,0.538511292048452
"53","BELL",430000,471500,344000,1784.11406447126,494.5,2278.61406447126,91144.5625788504,0.142296735201682,377200,1956.30181720511,542.225,2498.52681720511,99941.0726882046,0.10448112330834
"54","BELL CANYON",1399000,1227000,1119200,5804.59436324487,1608.85,7413.44436324487,296537.774529795,0.364694810763401,981600,5090.94873745637,1411.05,6501.99873745637,260079.949498255,0.385648511590576
"55","BELL GARDENS",527500,4e+05,422000,2188.65155583393,606.625,2795.27655583393,111811.062233357,0.100052678037085,320000,1659.64099020582,460,2119.64099020582,84785.639608233,0.192874490327294
"56","BELLA VISTA",310000,393000,248000,1286.22176740951,356.5,1642.72176740951,65708.8706963805,0.46899622459564,314400,1630.59727287722,451.95,2082.54727287722,83301.8909150889,0.338057457654279
"57","BELLFLOWER",515000,477000,412000,2136.78777489,592.25,2729.03777489,109161.5109956,0.195453997082773,381600,1979.12188082045,548.55,2527.67188082045,101106.875232818,0.220968119124991
"58","BELMONT",1761750,1775000,1409400,7309.68128623778,2026.0125,9335.69378623777,373427.751449511,0.175550987097973,1420000,7364.65689403834,2041.25,9405.90689403834,376236.275761534,0.17237566221519
"59","BELVEDERE",3300000,2310000,2640000,13692.038169198,3795,17487.038169198,699481.526767922,0,1848000,9584.42671843863,2656.5,12240.9267184386,489637.068737545,0.265939143488762
"60","BEN LOMOND",801000,8e+05,640800,3323.43108288716,921.15,4244.58108288716,169783.243315486,0.129642815765816,640000,3319.28198041165,920,4239.28198041165,169571.279216466,0.129293852486059
