,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
1,ACTON,2018-Q3,599000,7/1/2018,2505.5141,479200,688.85,3194.3641,127774.564,0.372363412
2,ADELANTO,2018-Q3,222000,7/1/2018,928.5878635,177600,255.3,1183.887863,47355.51454,0.373518928
3,AGOURA HILLS,2018-Q3,895000,7/1/2018,3743.631251,716000,1029.25,4772.881251,190915.2501,0.332016391
4,ALAMEDA,2018-Q3,1018618,7/1/2018,4260.704109,814894.4,1171.4107,5432.114809,217284.5924,0.176279494
5,ALAMO,2018-Q3,1564500,7/1/2018,6544.03474,1251600,1799.175,8343.20974,333728.3896,0.346244533
6,ALHAMBRA,2018-Q3,659500,7/1/2018,2758.575207,527600,758.425,3517.000207,140680.0083,0.155732174
7,ALISO VIEJO,2018-Q3,623000,7/1/2018,2605.901977,498400,716.45,3322.351977,132894.0791,0.41382281
8,ALPINE,2018-Q3,629895,7/1/2018,2634.742578,503916,724.37925,3359.121828,134364.8731,2.18360275
9,ALTADENA,2018-Q3,835000,7/1/2018,3492.661559,668000,960.25,4452.911559,178116.4623,0.261560931
10,AMERICAN CANYON,2018-Q3,576500,7/1/2018,2411.400465,461200,662.975,3074.375465,122975.0186,0.3441187
11,ANAHEIM,2018-Q3,570000,7/1/2018,2384.212082,456000,655.5,3039.712082,121588.4833,0.245852586
12,ANDERSON,2018-Q3,225000,7/1/2018,941.1363481,180000,258.75,1199.886348,47995.45392,0.373091247
13,ANTELOPE,2018-Q3,348500,7/1/2018,1457.715633,278800,400.775,1858.490633,74339.6253,0.48206416
14,ANTIOCH,2018-Q3,445000,7/1/2018,1861.358555,356000,511.75,2373.108555,94924.34221,0.379774936
15,APPLE VALLEY,2018-Q3,255000,7/1/2018,1066.621195,204000,293.25,1359.871195,54394.84778,0.482703078
16,APTOS,2018-Q3,920000,7/1/2018,3848.201957,736000,1058,4906.201957,196248.0783,0.158860266
17,ARCADIA,2018-Q3,1065000,7/1/2018,4454.712048,852000,1224.75,5679.462048,227178.4819,0.151319494
18,ARCATA,2018-Q3,360000,7/1/2018,1505.818157,288000,414,1919.818157,76792.72628,0.209298419
