,RegionSalesCar,2014 Q3,2014 Q2,Quarter_Rev,2013 Q3,principal,pmt,t_i,pti,min_inc,HAI
1,CA SFH (SAAR),468220,418570,r,433600,374576,1838.30567,538.453,2376.75867,95070.34679,0.294535466
2,CA Condo/Townhomes,346850,346850,r,345960,301264,1478.512556,433.067,1911.579556,76463.18225,0.384389464
3,Los Angeles Metropolitan Area,391330,391330,NA,394870,338776,1662.610102,486.9905,2149.600602,85984.02408,0.324650965
4,Inland Empire,266410,266410,NA,249050,220344,1081.381681,316.7445,1398.126181,55925.04724,0.469135512
5,S.F. Bay Area,679780,679780,r,695880,584944,2870.728161,840.857,3711.585161,148463.4064,0.215898052
6,United States,191100,191100,,207100,173840,853.15412,249.895,1103.04912,44121.9648,0.567594101
7,Alameda,632630,632630,NA,652920,542664,2663.230714,780.0795,3443.310214,137732.4086,0.211506976
8,Contra-Costa,438490,438490,r,482100,423704,2079.411029,609.0745,2688.485529,107539.4212,0.351219438
9,Marin,994620,994620,NA,958330,832392,4085.128073,1196.5635,5281.691573,211267.6629,0.145162227
10,Napa,506940,506940,NA,509900,492408,2416.589473,707.8365,3124.425973,124977.0389,0.210086228
11,San Francisco,974770,974770,NA,855500,838680,4115.987674,1205.6025,5321.590174,212863.607,0.121683175
12,San Mateo,1045500,1045500,NA,945000,856000,4200.988994,1230.5,5431.488994,217259.5598,0.14784131
13,Santa Clara,808000,808000,NA,805000,688000,3376.495827,989,4365.495827,174619.8331,0.212216134
14,Solano,298370,298370,NA,288220,264848,1299.793847,380.719,1680.512847,67220.51388,0.488131923
15,Sonoma,479750,479750,NA,460860,396112,1943.997842,569.411,2513.408842,100536.3537,0.28543736
16,Los Angeles,406210,406210,NA,448920,385496,1891.897726,554.1505,2446.048226,97841.92903,0.248961984
17,Orange County,669780,669780,NA,670690,557584,2736.45356,801.527,3537.98056,141519.2224,0.201040547
18,Riverside County,309190,309190,r,292620,254752,1250.245734,366.206,1616.451734,64658.06935,0.414587726
19,San Bernardino,188520,188520,NA,182900,170608,837.2924419,245.249,1082.541442,43301.65768,0.568002925
20,San Diego,483030,483030,NA,485040,414248,2033.003842,595.4815,2628.485342,105139.4137,0.250892826
21,Ventura,549930,549930,NA,550220,474056,2326.523409,681.4555,3007.978909,120319.1564,0.268625998
22,Monterey,477000,477000,NA,415000,364000,1786.401862,523.25,2309.651862,92386.07447,0.265980539
23,San Luis Obispo,476980,476980,NA,487500,385712,1892.957788,554.461,2447.418788,97896.75153,0.243391639
24,Santa Barbara,647890,647890,NA,622900,604600,2967.193862,869.1125,3836.306362,153452.2545,0.14209935
25,Santa Cruz,615000,615000,NA,625000,548000,2689.418188,787.75,3477.168188,139086.7275,0.173085851
26,Fresno,189720,189720,NA,184550,163528,802.5459441,235.0715,1037.617444,41504.69777,0.525697467
27,Kings County,173570,173570,NA,172920,143736,705.4127967,206.6205,912.0332967,36481.33187,0.63959791
28,Madera,193570,193570,NA,174540,171768,842.9853709,246.9165,1089.901871,43596.07484,0.505034996
29,Merced,158440,158440,NA,163570,137944,676.9874133,198.2945,875.2819133,35011.27653,0.546786817
30,Placer County,366670,366670,NA,366390,307784,1510.510744,442.4395,1952.950244,78118.00974,0.442809513
31,Sacramento,255840,255840,NA,255900,220264,1080.989065,316.6295,1397.618565,55904.7426,0.478847543
32,San Benito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,San Joaquin,237890,237890,NA,NA,210720,1034.150001,302.91,1337.060001,53482.40004,0.399722375
34,Stanislaus,212050,212050,NA,NA,184616,906.0394674,265.3855,1171.424967,46856.9987,0.436310496
35,Tulare,164000,164000,NA,159110,142296,698.3457125,204.5505,902.8962125,36115.8485,0.563116797
36,Amador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Butte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,El Dorado County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Humboldt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Lake County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Mariposa And Tuolumne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Mendocino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Shasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Siskiyou County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Sutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Tehama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Yolo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Yuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
