,RegionSalesCar,2014 Q3,2014 Q2,Quarter_Rev,2013 Q3,principal,pmt,t_i,pti,min_inc,HAI
1,CA SFH (SAAR),397987,355784.5,r,368560,358188.3,1405.982964,457.68505,1863.668014,55910.04041,0.521333645
2,CA Condo/Townhomes,294822.5,294822.5,r,294066,288083.7,1130.804033,368.10695,1498.910983,44967.3295,0.604203471
3,Los Angeles Metropolitan Area,332630.5,332630.5,NA,335639.5,323954.55,1271.606522,413.941925,1685.548447,50566.45341,0.546076942
4,Inland Empire,226448.5,226448.5,NA,211692.5,210703.95,827.0682323,269.232825,1096.301057,32889.03172,0.678746712
5,S.F. Bay Area,577813,577813,r,591498,559352.7,2195.605962,714.72845,2910.334412,87310.03235,0.445303556
6,United States,162435,162435,,176035,166234.5,652.5139849,212.41075,864.9247349,25947.74205,0.746776311
7,Alameda,537735.5,537735.5,NA,554982,518922.45,2036.906633,663.067575,2699.974208,80999.22625,0.438005123
8,Contra-Costa,372716.5,372716.5,r,409785,405166.95,1590.386479,517.713325,2108.099804,63242.99411,0.576636432
9,Marin,845427,845427,NA,814580.5,795974.85,3124.409923,1017.078975,4141.488898,124244.6669,0.294178448
10,Napa,430899,430899,NA,433415,470865.15,1848.269134,601.661025,2449.930159,73497.90478,0.442767399
11,San Francisco,828554.5,828554.5,NA,727175,801987.75,3148.012131,1024.762125,4172.774256,125183.2277,0.286253031
12,San Mateo,888675,888675,NA,803250,818550,3213.023304,1045.925,4258.948304,127768.4491,0.337509903
13,Santa Clara,686800,686800,NA,684250,657900,2582.429945,840.65,3423.079945,102692.3983,0.438585281
14,Solano,253614.5,253614.5,NA,244987,253260.9,994.1154158,323.61115,1317.726566,39531.79697,0.707304045
15,Sonoma,407787.5,407787.5,NA,391731,378782.1,1486.819027,483.99935,1970.818377,59124.5513,0.529943443
16,Los Angeles,345278.5,345278.5,NA,381582,368630.55,1446.971532,471.027925,1917.999457,57539.98371,0.473457901
17,Orange County,569313,569313,NA,570086.5,533189.7,2092.909329,681.29795,2774.207279,83226.21837,0.443242985
18,Riverside County,262811.5,262811.5,r,248727,243606.6,956.2197578,311.2751,1267.494858,38024.84573,0.634182265
19,San Bernardino,160242,160242,NA,155465,163143.9,640.3825698,208.46165,848.8442198,25465.3266,0.750101808
20,San Diego,410575.5,410575.5,NA,412284,396124.65,1554.893081,506.159275,2061.052356,61831.57068,0.490129046
21,Ventura,467440.5,467440.5,NA,467687,453316.05,1779.384317,579.237175,2358.621492,70758.64476,0.522709881
22,Monterey,405450,405450,NA,352750,348075,1366.28561,444.7625,1811.04811,54331.44331,0.503442829
23,San Luis Obispo,405433,405433,NA,414375,368837.1,1447.782295,471.29185,1919.074145,57572.22435,0.480029886
24,Santa Barbara,550706.5,550706.5,NA,529465,578148.75,2269.385385,738.745625,3008.13101,90243.93029,0.346443321
25,Santa Cruz,522750,522750,NA,531250,524025,2056.935479,669.5875,2726.522979,81795.68938,0.390434036
26,Fresno,161262,161262,NA,156867.5,156373.65,613.807564,199.810775,813.618339,24408.55017,0.714380959
27,Kings County,147534.5,147534.5,NA,146982,137447.55,539.5176607,175.627425,715.1450857,21454.35257,0.804217771
28,Madera,164534.5,164534.5,NA,148359,164253.15,644.7366668,209.879025,854.6156918,25638.47076,0.712699306
29,Merced,134674,134674,NA,139034.5,131908.95,517.777204,168.550325,686.327529,20589.82587,0.756963194
30,Placer County,311669.5,311669.5,NA,311431.5,294318.45,1155.277061,376.073575,1531.350636,45940.51909,0.660408382
31,Sacramento,217464,217464,NA,217515,210627.45,826.7679497,269.135075,1095.903025,32877.09074,0.686550335
32,San Benito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,San Joaquin,202206.5,202206.5,NA,NA,201501,790.9442413,257.4735,1048.417741,31452.53224,0.629854788
34,Stanislaus,180242.5,180242.5,NA,NA,176539.05,692.9620446,225.577675,918.5397196,27556.19159,0.668622016
35,Tulare,139400,139400,NA,135243.5,136070.55,534.1125748,173.867925,707.9804998,21239.41499,0.764386284
36,Amador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Butte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,El Dorado County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Humboldt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Lake County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Mariposa And Tuolumne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Mendocino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Shasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Siskiyou County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Sutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Tehama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Yolo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Yuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
