"","RegionSalesCar","2015 Q1","2014 Q4","2014 Q1","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",442430,451670,418570,353944,1683.66693366956,508.7945,2192.46143366955,87698.4573467822,0.340119082253153,0.313422592330391,"",0.331595378456313,""
"2","CA Condo/Townhomes",369420,368860,346850,295536,1405.8274498479,424.833,1830.6604498479,73226.4179939161,0.413009461589361,0.394987127220869,"",0.409569076415784,""
"3","Los Angeles Metropolitan Area",414970,414040,391330,331976,1579.16793044065,477.2155,2056.38343044065,82255.3372176259,0.347231024184402,0.336361001227469,"",0.345564771420072,""
"4","Inland Empire",281000,277730,266410,224800,1069.34522604965,323.15,1392.49522604965,55699.8090419859,0.471838313970312,0.467628669128488,"",0.472562716921904,""
"5","S.F. Bay Area",748330,743910,679780,598664,2847.76908544389,860.5795,3708.34858544388,148333.943417755,0.230519450844234,0.212123467407704,"",0.233348978600255,""
"6","United States",204700,208400,191100,163760,778.985650435454,235.405,1014.39065043545,40575.6260174182,0.613111015632057,0.607967326294859,"R",0.613028744434136,""
"7","Alameda",707320,703370,632630,565856,2691.70557042504,813.418,3505.12357042504,140204.942817002,0.226150884556242,0.200877243989791,"",0.224835660236089,""
"8","Contra-Costa",755760,698300,651750,604608,2876.04394320029,869.124,3745.16794320029,149806.717728011,0.210112290920737,0.229249240695955,"R",0.242404688199187,"R"
"9","Marin",1036050,1009620,994620,828840,3942.68726494212,1191.4575,5134.14476494212,205365.790597685,0.191461343491286,0.149489383096282,"",0.148163823279663,""
"10","Napa",492550,581040,506940,394040,1874.39854480695,566.4325,2440.83104480695,97633.241792278,0.339799566221756,0.240652461520997,"",0.284385639429963,""
"11","San Francisco",1175850,1139320,974770,940680,4474.69602864938,1352.2275,5826.92352864938,233076.941145975,0.118219450383163,0.109508680805861,"",0.12667879835536,""
"12","San Mateo",1202000,1050000,1045500,961600,4574.20982815543,1382.3,5956.50982815543,238260.393126217,0.139087029736796,0.153924989691379,"",0.144886350669126,""
"13","Santa Clara",9e+05,855000,808000,720000,3424.94912257894,1035,4459.94912257894,178397.964903158,0.217792810604281,0.217541339390725,"",0.223565516593833,""
"14","Solano",337000,327590,298370,269600,1282.45317145456,387.55,1670.00317145456,66800.1268581823,0.483453449553411,0.496871798030931,"",0.527001606565193,""
"15","Sonoma",489650,494440,479750,391720,1863.3625976342,563.0975,2426.4600976342,97058.4039053679,0.309172771468108,NA,NA,NA,NA
"16","Los Angeles",434710,450880,406210,347768,1654.28848119588,499.9165,2154.20498119588,86168.1992478351,0.311165428412133,0.280583161461592,"",0.309346179154239,""
"17","Orange County",685680,688450,669780,548544,2609.35457152214,788.532,3397.88657152214,135915.462860886,0.222175606075667,0.208514880573594,"",0.205454679649335,""
"18","Riverside County",322620,321610,309190,258096,1227.7300954738,371.013,1598.7430954738,63949.7238189519,0.421048504370316,0.412094672387829,"",0.416752088862977,""
"19","San Bernardino",212300,212310,188520,169840,807.907443026121,244.145,1052.05244302612,42082.0977210448,0.580393413991983,0.571690625164196,"",0.60778051161391,""
"20","San Diego",510330,493110,483030,408264,1942.06031747301,586.8795,2528.93981747301,101157.59269892,0.277163594379534,0.271760501206389,"",0.265802970991111,""
"21","Ventura",583820,569190,549930,467056,2221.72644082671,671.393,2893.11944082671,115724.777633068,0.281541353031338,0.293595243268712,"",0.293572763621486,""
"22","Monterey",465000,451550,477000,372000,1769.55704666578,534.75,2304.30704666578,92172.2818666314,0.287959080994932,0.271721717498199,"",0.232312481132582,""
"23","San Luis Obispo",492390,468000,476980,393912,1873.78966496294,566.2485,2440.03816496294,97601.5265985175,0.298185208820678,0.260508371845901,"",0.235598366018606,""
"24","Santa Barbara",680550,626370,647890,544440,2589.83236152344,782.6325,3372.46486152344,134898.594460938,0.184383639692958,0.207684195782188,"",0.18235256919456,""
"25","Santa Cruz",695000,700050,615000,556000,2644.82182243596,799.25,3444.07182243596,137762.872897438,0.21877581180405,0.168011474590785,"",0.197695464459392,""
"26","Fresno",212200,201840,189720,169760,807.526893123612,244.03,1051.55689312361,42062.2757249445,0.508015447766385,0.533091789018458,"",0.544457225814137,""
"27","Kings County",186000,181050,173570,148800,707.822818666314,213.9,921.722818666314,36868.9127466526,0.622397477125253,0.640240684022225,"",0.639487909696016,""
"28","Madera",212500,219700,193570,170000,808.668542831138,244.375,1053.04354283114,42121.7417132455,0.507160208318754,0.496532132042085,"",0.539345329434319,""
"29","Merced",177240,182960,158440,141792,674.486647206546,203.826,878.312647206546,35132.5058882618,0.597328466825372,0.527337009390866,"",0.575968905325949,""
"30","Placer County",379080,380040,366670,303264,1442.58857043025,435.942,1878.53057043025,75141.22281721,0.460549300433771,0.450901400429839,"",0.452044473095542,""
"31","Sacramento",275810,268660,255840,220648,1049.59468610944,317.1815,1366.77618610944,54671.0474443776,0.494468545489155,0.491456223059232,"",0.498036528116397,""
"32","San Benito",450000,433500,409980,360000,1712.47456128947,517.5,2229.97456128947,89198.9824515788,0.350257596135205,NA,NA,NA,NA
"33","San Joaquin",269400,260980,237890,215520,1025.20143735863,309.81,1335.01143735863,53400.4574943452,0.482960124079914,0.484541746883492,"R",0.509046054135458,"R"
"34","Stanislaus",237200,229140,212050,189760,902.664368750805,272.78,1175.4443687508,47017.7747500322,0.490188373863011,0.47898602810928,"R",0.500924882279108,"R"
"35","Tulare",175930,180950,164000,140744,669.501443483681,202.3195,871.820943483681,34872.8377393472,0.565766805382277,0.559014007895003,"",0.585431537446079,""
"36","Amador",243750,240220,205000,195000,927.590387365129,280.3125,1207.90288736513,48316.1154946052,0.547188788516013,NA,NA,NA,NA
"37","Butte County",237800,235820,222350,190240,904.947668165857,273.47,1178.41766816586,47136.7067266343,0.467362391832533,0.451833445301291,NA,0.462454647072086,NA
"38","El Dorado County",385450,369640,353790,308360,1466.82959922006,443.2675,1910.09709922006,76403.8839688023,0.450866776207339,0.433425244132385,NA,0.439849395766245,NA
"39","Humboldt",255600,261760,242260,204480,972.685550812418,293.94,1266.62555081242,50665.0220324967,0.436046460964775,0.38824175337924,NA,0.402280408003044,NA
"40","Lake County",182860,175620,162310,146288,695.873551727538,210.289,906.162551727538,36246.5020691015,0.489850438313421,NA,NA,NA,NA
"41","Mariposa",230710,222220,223470,184568,877.966680077986,265.3165,1143.28318007799,45731.3272031194,0.592287017861517,NA,NA,NA,NA
"42","Mendocino",283330,301670,276090,226664,1078.2120387781,325.8295,1404.0415387781,56161.661551124,0.400611734013394,NA,NA,NA,NA
"43","Shasta",222000,213550,202110,177600,844.820783569471,255.3,1100.12078356947,44004.8313427789,0.532094677998775,0.501792105152005,NA,0.510146718731204,NA
"44","Siskiyou County",170000,155000,150000,136000,646.93483426491,195.5,842.43483426491,33697.3933705964,0.543237281924177,NA,NA,NA,NA
"45","Sutter",231250,209880,194710,185000,880.021649551533,265.9375,1145.95914955153,45838.3659820613,0.549633363125925,NA,NA,NA,NA
"46","Tehama",161670,181820,175000,129336,615.23502738593,185.9205,801.15552738593,32046.2210954372,0.624912033227132,NA,NA,NA,NA
"47","Yolo",343410,344120,319230,274728,1306.84642020537,394.9215,1701.76792020537,68070.7168082148,0.4239695033292,0.414686956164954,NA,0.429817931729943,NA
"48","Yuba",206940,201630,203720,165552,787.509968251651,237.981,1025.49096825165,41019.638730066,0.555765484338654,NA,NA,NA,NA
