"","RegionSalesCar","2016 Q1","2015 Q4","Quarter_Rev","2015 Q1","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",465280,411238.5,"",441340,370114.65,1491.58371304569,472.924275,1964.50798804569,58935.2396413707,0.511651717354547,0.512275252127789
"2","CA Condo/Townhomes",389910,333982,"",368750,300583.8,1211.37031588829,384.0793,1595.44961588829,47863.4884766486,0.589615295017865,0.589057579688385
"3","Los Angeles Metropolitan Area",436850,376405.5,"",413410,338764.95,1365.24258623845,432.866325,1798.10891123845,53943.2673371534,0.52821883698601,0.52821883698601
"4","Inland Empire",297850,251217.5,"",281000,226095.75,911.179112442185,288.900125,1200.07923744218,36002.3771232655,0.646588969588678,0.646588969588678
"5","S.F. Bay Area",723060,624894.5,"",678720,562405.05,2266.52528538021,718.628675,2985.15396038021,89554.6188114063,0.455443300588616,0.455443300588616
"6","United States",217600,189550,"",204700,170595,687.507839873481,217.9825,905.49033987348,27164.7101962044,0.746052765622341,0.746052765622341
"7","Alameda",731640,618936,"",664230,557042.4,2244.91349184876,711.7764,2956.68989184876,88700.6967554628,0.426130988044872,0.426130988044872
"8","Contra-Costa",543570,447567.5,"",474310,402810.75,1623.35091069678,514.702625,2138.05353569678,64141.6060709033,0.581836959884621,0.581836959884621
"9","Marin",1093750,995647.5,"",1036060,896082.75,3611.26595621436,1144.994625,4756.26058121436,142687.817436431,0.327776152586655,0.327779791042702
"10","Napa",646960,557549,"",544410,501794.1,2022.25960756328,641.18135,2663.44095756328,79903.2287268983,0.441151831159085,0.441151831159085
"11","San Francisco",1332500,1079593.5,"",1175850,971634.15,3915.74252242918,1241.532525,5157.27504742918,154718.251422875,0.236694189166782,0.236694189166782
"12","San Mateo",1170000,1015750,"",1202000,914175,3684.17878317852,1168.1125,4852.29128317852,145568.738495355,0.288117296463422,0.288117296463422
"13","Santa Clara",970000,799000,"",9e+05,719100,2898.01510978059,918.85,3816.86510978059,114505.953293418,0.414899916333115,0.414899916333115
"14","Solano",368610,302515,"",337000,272263.5,1097.23784847969,347.89225,1445.13009847969,43353.9029543908,0.667926073662435,0.667926073662435
"15","Sonoma",583210,468639,"",489650,421775.1,1699.77835173025,538.93485,2238.71320173025,67161.3960519074,0.484356412334573,0.484356412334573
"16","Los Angeles",458900,409649,"",431730,368684.1,1485.8185127741,471.09635,1956.9148627741,58707.4458832231,0.473679239815279,0.473679239815279
"17","Orange County",713680,602395,"",685680,542155.5,2184.91841308671,692.75425,2877.67266308671,86330.1798926012,0.429293646316744,0.429293646316744
"18","Riverside County",342930,289221,"",322620,260298.9,1049.01980984462,332.60415,1381.62395984462,41448.7187953386,0.602350359118188,0.602350359118188
"19","San Bernardino",233490,198670.5,"",212300,178803.45,720.588374052146,228.471075,949.059449052146,28471.7834715644,0.716729690615201,0.716729690615201
"20","San Diego",554320,464754.5,"",510330,418279.05,1685.68906550504,534.467675,2220.15674050504,66604.7022151511,0.469149452088724,0.469149452088724
"21","Ventura",622520,517165.5,"",583820,465448.95,1875.78652472745,594.740325,2470.52684972745,74115.8054918236,0.494934364164543,0.494934364164543
"22","Monterey",5e+05,425807.5,"",465000,383226.75,1544.42624387722,489.678625,2034.10486887722,61023.1460663166,0.487667519025285,0.487667519025285
"23","San Luis Obispo",540830,460691.5,"",492390,414622.35,1670.95235037232,529.795225,2200.74757537232,66022.4272611697,0.487845138981055,0.487845138981055
"24","Santa Barbara",680920,552500,"R",720150,497250,2003.9466184653,635.375,2639.3216184653,79179.6485539591,0.413593013733325,0.441498813201288
"25","Santa Cruz",746500,612000,"",695000,550800,2219.75625430003,703.8,2923.55625430003,87706.6876290008,0.418838411993919,0.418838411993919
"26","Fresno",219590,186966,"",212200,168269.4,678.135535688658,215.0109,893.146435688658,26794.3930706597,0.673751751526096,0.673751751526096
"27","Kings County",201340,162324.5,"",186000,146092.05,588.759516505106,186.673175,775.432691505106,23262.9807451532,0.784199785626421,0.784199785626421
"28","Madera",217050,187705.5,"",212500,168934.95,680.817741162604,215.861325,896.679066162604,26900.3719848781,0.676419350197001,0.676419350197001
"29","Merced",192060,174411.5,"",177240,156970.35,632.599702527531,200.573225,833.172927527531,24995.1878258259,0.725041893160904,0.725041893160904
"30","Placer County",411640,335554.5,"",379080,301999.05,1217.07385626392,385.887675,1602.96153126392,48088.8459379176,0.653755903819705,0.653755903819705
"31","Sacramento",297620,249942.5,"",275810,224948.25,906.554620245726,287.433875,1193.98849524573,35819.6548573718,0.657356543764903,0.657356543764903
"32","San Benito",482440,416500,"",450000,374850,1510.66745084307,478.975,1989.64245084307,59689.2735252922,0.550478213136553,0.550478213136553
"33","San Joaquin",295000,242097,"",269400,217887.3,878.098578263519,278.41155,1156.51012826352,34695.3038479056,0.652514816307663,0.652514816307663
"34","Stanislaus",254440,215322,"",237200,193789.8,780.984242137893,247.6203,1028.60454213789,30858.1362641368,0.662107781672351,0.662107781672351
"35","Tulare",193900,160905,"",175930,144814.5,583.610915193049,185.04075,768.651665193049,23059.5499557915,0.720586167783977,0.720586167783977
"36","Amador",273910,230562.5,"",243750,207506.25,836.262338859559,265.146875,1101.40921385956,33042.2764157867,0.697955316112218,0.697955316112218
"37","Butte County",272530,218696.5,"",237800,196826.85,793.223731484519,251.500975,1044.72470648452,31341.7411945356,0.634562858737275,0.634562858737275
"38","El Dorado County",423980,333846,"",385450,300461.4,1210.87703672066,383.9229,1594.79993672066,47843.9981016199,0.658501474499216,0.658501474499216
"39","Humboldt",270000,229219.5,"",255600,206297.55,831.391207079289,263.602425,1094.99363207929,32849.8089623787,0.620269070297284,0.620269070297284
"40","Lake County",225590,195202.5,"",182860,175682.25,708.009755277779,224.482875,932.492630277779,27974.7789083334,0.594217647291267,0.594217647291267
"41","Mariposa",239530,207187.5,"",230710,186468.75,751.479981924488,238.265625,989.745606924488,29692.3682077346,0.737775178375991,0.737775178375991
