"","RegionSalesCar","2016 Q4","2016 Q3","Quarter_Rev","2015 Q4","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",511360,516070,"r",412003.5,370803.15,1494.35840836356,473.804025,1968.16243336356,59044.8730009069,0.51091332091255,0.512275252127789,""
"2","CA Condo/Townhomes",413700,418320,NA,334534.5,301081.05,1213.37426250675,384.714675,1598.08893750675,47942.6681252026,0.588956176901207,0.589057579688385,""
"3","Los Angeles Metropolitan Area",463050,468600,NA,378165,340348.5,1371.62438546956,434.88975,1806.51413546956,54195.4240640867,0.526486883470894,0.52821883698601,""
"4","Inland Empire",317710,318960,NA,251217.5,226095.75,911.179112442185,288.900125,1200.07923744218,36002.3771232655,0.646588969588678,0.646588969588678,""
"5","S.F. Bay Area",797170,783560,"r",624920,562428,2266.61777522414,718.658,2985.27577522414,89558.2732567241,0.455426157795052,0.455443300588616,""
"6","United States",235000,240900,"1",189550,170595,687.507839873481,217.9825,905.49033987348,27164.7101962044,0.746052765622341,0.746052765622341,""
"7","Alameda",779500,780000,"r",616250,554625,2235.17122828822,708.6875,2943.85872828822,88315.7618486466,0.427928525813226,0.426130988044872,""
"8","Contra-Costa",550000,575000,"r",440937.5,396843.75,1599.30355127519,507.078125,2106.38167627519,63191.4502882558,0.588131219576718,0.581836959884621,"R"
"9","Marin",1149500,1185000,NA,995647.5,896082.75,3611.26595621436,1144.994625,4756.26058121436,142687.817436431,0.327776152586655,0.327779791042702,""
"10","Napa",620000,639000,NA,557549,501794.1,2022.25960756328,641.18135,2663.44095756328,79903.2287268983,0.441151831159085,0.441151831159085,""
"11","San Francisco",1353000,1298000,NA,1062500,956250,3853.74349704866,1221.875,5075.61849704866,152268.55491146,0.241346859962786,0.236694189166782,""
"12","San Mateo",1300000,1300000,NA,1015750,914175,3684.17878317852,1168.1125,4852.29128317852,145568.738495355,0.288117296463422,0.288117296463422,""
"13","Santa Clara",1005000,1e+06,NA,799000,719100,2898.01510978059,918.85,3816.86510978059,114505.953293418,0.414899916333115,0.414899916333115,""
"14","Solano",392500,393000,NA,297032.5,267329.25,1077.35253203492,341.587375,1418.93990703492,42568.1972110477,0.674105927105686,0.667926073662435,""
"15","Sonoma",589000,580500,NA,450500,405450,1633.98724274863,518.075,2152.06224274863,64561.8672824589,0.502782414455289,0.484356412334573,"R"
"16","Los Angeles",503400,536720,NA,409649,368684.1,1485.8185127741,471.09635,1956.9148627741,58707.4458832231,0.473679239815279,0.473679239815279,""
"17","Orange County",745160,740070,NA,602395,542155.5,2184.91841308671,692.75425,2877.67266308671,86330.1798926012,0.429293646316744,0.429293646316744,""
"18","Riverside County",356380,358510,NA,289221,260298.9,1049.01980984462,332.60415,1381.62395984462,41448.7187953386,0.602350359118188,0.602350359118188,""
"19","San Bernardino",251100,248280,NA,198670.5,178803.45,720.588374052146,228.471075,949.059449052146,28471.7834715644,0.716729690615201,0.716729690615201,""
"20","San Diego",593040,589260,NA,464754.5,418279.05,1685.68906550504,534.467675,2220.15674050504,66604.7022151511,0.469149452088724,0.469149452088724,""
"21","Ventura",629860,642740,NA,517165.5,465448.95,1875.78652472745,594.740325,2470.52684972745,74115.8054918236,0.494934364164543,0.494934364164543,""
"22","Monterey",507000,539000,NA,425807.5,383226.75,1544.42624387722,489.678625,2034.10486887722,61023.1460663166,0.487667519025285,0.487667519025285,""
"23","San Luis Obispo",566550,574930,NA,460691.5,414622.35,1670.95235037232,529.795225,2200.74757537232,66022.4272611697,0.487845138981055,0.487845138981055,""
"24","Santa Barbara",681340,717460,NA,552500,497250,2003.9466184653,635.375,2639.3216184653,79179.6485539591,0.413593013733325,0.441498813201288,"R"
"25","Santa Cruz",8e+05,793000,NA,612000,550800,2219.75625430003,703.8,2923.55625430003,87706.6876290008,0.418838411993919,0.418838411993919,""
"26","Fresno",237300,238260,NA,186966,168269.4,678.135535688658,215.0109,893.146435688658,26794.3930706597,0.673751751526096,0.673751751526096,""
"27","Kings County",215170,210140,NA,162324.5,146092.05,588.759516505106,186.673175,775.432691505106,23262.9807451532,0.784199785626421,0.784199785626421,""
"28","Madera",229790,238160,NA,187705.5,168934.95,680.817741162604,215.861325,896.679066162604,26900.3719848781,0.676419350197001,0.676419350197001,""
"29","Merced",230720,219950,NA,174411.5,156970.35,632.599702527531,200.573225,833.172927527531,24995.1878258259,0.725041893160904,0.725041893160904,""
"30","Placer County",434720,439500,NA,335554.5,301999.05,1217.07385626392,385.887675,1602.96153126392,48088.8459379176,0.653755903819705,0.653755903819705,""
"31","Sacramento",324300,327040,NA,249942.5,224948.25,906.554620245726,287.433875,1193.98849524573,35819.6548573718,0.657356543764903,0.657356543764903,""
"32","San Benito",5e+05,516000,NA,416500,374850,1510.66745084307,478.975,1989.64245084307,59689.2735252922,0.550478213136553,0.550478213136553,""
"33","San Joaquin",324570,321250,NA,242097,217887.3,878.098578263519,278.41155,1156.51012826352,34695.3038479056,0.652514816307663,0.652514816307663,""
"34","Stanislaus",276000,273550,NA,215322,193789.8,780.984242137893,247.6203,1028.60454213789,30858.1362641368,0.662107781672351,0.662107781672351,""
"35","Tulare",212680,212570,NA,160905,144814.5,583.610915193049,185.04075,768.651665193049,23059.5499557915,0.720586167783977,0.720586167783977,""
"36","Amador",278680,253910,NA,230562.5,207506.25,836.262338859559,265.146875,1101.40921385956,33042.2764157867,0.697955316112218,0.697955316112218,""
"37","Butte County",292700,280830,NA,218696.5,196826.85,793.223731484519,251.500975,1044.72470648452,31341.7411945356,0.634562858737275,0.634562858737275,""
"38","El Dorado County",435710,423240,NA,333846,300461.4,1210.87703672066,383.9229,1594.79993672066,47843.9981016199,0.658501474499216,0.658501474499216,""
"39","Humboldt",296320,296040,NA,229219.5,206297.55,831.391207079289,263.602425,1094.99363207929,32849.8089623787,0.620269070297284,0.620269070297284,""
"40","Lake County",245970,232210,NA,195202.5,175682.25,708.009755277779,224.482875,932.492630277779,27974.7789083334,0.594217647291267,0.594217647291267,""
"41","Mariposa",246210,263270,NA,207187.5,186468.75,751.479981924488,238.265625,989.745606924488,29692.3682077346,0.737775178375991,0.737775178375991,""
"42","Mendocino",367440,355740,NA,301546,271391.4,1093.72323441039,346.7779,1440.50113441039,43215.0340323116,0.511812518448879,0.516894193016027,"R"
"43","Shasta",245060,237990,NA,199112.5,179201.25,722.191531346918,228.979375,951.170906346918,28535.1271904076,0.702483237937643,0.702483237937643,""
"44","Siskiyou County",193850,203700,NA,147330.5,132597.45,534.375488274755,169.430075,703.805563274755,21114.1668982426,0.707901872709725,0.707901872709725,""
"45","Sutter",258200,262120,NA,212950.5,191655.45,772.38268665248,244.893075,1017.27576165248,30518.2728495744,0.704957828909507,0.704957828909507,""
"46","Tehama",197140,200890,NA,154547,139092.3,560.55011410671,177.72905,738.27916410671,22148.3749232013,0.760546892865477,0.760546892865477,""
"47","Yolo",392130,400970,NA,320237.5,288213.75,1161.51829001047,368.273125,1529.79141501047,45893.742450314,0.569926689844466,0.569926689844466,""
"48","Yuba",253070,252050,NA,184433,165989.7,668.948211191694,212.09795,881.046161191694,26431.3848357508,0.725970063961974,0.725970063961974,""
