"","RegionSalesCar","2017 Q2","2017 Q1","Quarter_Rev","2016 Q2","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y","Year_Rev"
"1","CA SFH (SAAR)",553260,496620,NA,516220,412976,1936.06548517623,593.653,2529.71848517623,101188.739407049,0.305275693579722,0.305275693579722,""
"2","CA Condo/Townhomes",443400,414840,NA,411370,329096,1542.82913997316,473.0755,2015.90463997316,80636.1855989265,0.401737241291938,0.40171857898926,""
"3","Los Angeles Metropolitan Area",491250,461950,NA,467220,373776,1752.29265813808,537.303,2289.59565813808,91583.8263255231,0.333198827332376,0.330264901107511,""
"4","Inland Empire",342050,326460,NA,315500,252400,1183.27197817423,362.825,1546.09697817423,61843.8791269692,0.459971788081126,0.459971788081126,""
"5","S.F. Bay Area",895000,780330,NA,830000,664000,3112.88666207484,954.5,4067.38666207484,162695.466482993,0.233436910053429,0.229274191038189,""
"6","United States",255600,232100,"1",241000,192800,903.862271759079,277.15,1181.01227175908,47240.4908703632,0.566488536630502,0.566488536630502,""
"7","Alameda",880000,798000,NA,806000,644800,3022.87548148472,926.9,3949.77548148472,157991.019259389,0.226772775783792,0.219145795976581,"R"
"8","Contra-Costa",655000,562500,NA,597000,477600,2239.02811717913,686.55,2925.57811717913,117023.124687165,0.349618560517478,0.32405797370935,"R"
"9","Marin",1302500,1200000,NA,1225000,980000,4594.32067595383,1408.75,6003.07067595383,240122.827038153,0.177892100880876,0.177892100880876,""
"10","Napa",683000,668000,NA,630000,504000,2362.79349049054,724.5,3087.29349049054,123491.739619622,0.255040614961424,0.255040614961424,""
"11","San Francisco",1450000,1300000,NA,1375000,1100000,5156.89055464205,1581.25,6738.14055464205,269525.622185682,0.129561913918165,0.129561913918165,""
"12","San Mateo",1469000,1300000,NA,1330000,1064000,4988.11959103558,1529.5,6517.61959103558,260704.783641423,0.142148243398661,0.142148243398661,""
"13","Santa Clara",1183440,1070000,NA,1085000,868000,4069.25545584482,1247.75,5317.00545584482,212680.218233793,0.19131888755411,0.19131888755411,""
"14","Solano",412000,390750,NA,385000,308000,1443.92935529977,442.75,1886.67935529977,75467.1742119909,0.454390028342117,0.453289193764183,""
"15","Sonoma",625000,605000,NA,585000,468000,2194.02252688407,672.75,2866.77252688407,114670.901075363,0.263261334841027,0.263261334841027,""
"16","Los Angeles",514220,485820,NA,480040,384032,1800.37363043663,552.046,2352.41963043663,94096.7852174653,0.302330983705256,0.302330983705256,""
"17","Orange County",788000,750000,NA,740000,592000,2775.3447348619,851,3626.3447348619,145053.789394476,0.224204291330929,0.222891362013272,""
"18","Riverside County",380000,365000,NA,355000,284000,1331.41537956213,408.25,1739.66537956213,69586.6151824852,0.414273026679864,0.41381835827075,""
"19","San Bernardino",269640,256900,NA,242370,193896,909.000409984431,278.7255,1187.72590998443,47509.0363993773,0.559392054762684,0.559392054762684,""
"20","San Diego",605000,564000,NA,560000,448000,2100.26088043603,644,2744.26088043603,109770.435217441,0.278913380449856,0.256760177869653,"R"
"21","Ventura",635000,6e+05,NA,606500,485200,2274.65754282938,697.475,2972.13254282938,118885.301713175,0.327318445325245,0.294519269742034,"R"
"22","Monterey",603000,560000,NA,535000,428000,2006.499233988,615.25,2621.749233988,104869.96935952,0.247874726119725,0.247874726119725,""
"23","San Luis Obispo",565000,550000,NA,539000,431200,2021.50109741968,619.85,2641.35109741968,105654.043896787,0.272408711403725,0.266561300412509,""
