"","RegionSalesCar","2017 Q4","2017 Q3","2016 Q4","principal","pmt","t_i","pti","min_inc","HAI","HAI.x.x","Quarter_Rev","HAI.x.y","Year_Rev"
"1","CA SFH (SAAR)",468341.5,555680,512700,421507.35,1850.65927133039,538.592725,2389.25199633039,71677.5598899117,0.470671959457,0.468708997422174,"",0.496481554360775,""
"2","CA Condo/Townhomes",382262,446800,413720,344035.8,1510.51468720431,439.6013,1950.11598720431,58503.4796161293,0.554698019355509,0.558528293921086,"",0.578155041463522,""
"3","Los Angeles Metropolitan Area",421812.5,502000,460000,379631.25,1666.79914952668,485.084375,2151.88352452668,64556.5057358004,0.497536222256002,0.494599211803307,"",0.526528021308206,"R"
"4","Inland Empire",289000,339900,315000,260100,1141.98833418453,332.35,1474.33833418453,44230.1500255358,0.611660008961495,0.613781326892317,"",0.642082120954749,""
"5","S.F. Bay Area",760750,860000,790000,684675,3006.11635027986,874.8625,3880.97885027986,116429.365508396,0.392068939226756,0.411478569764833,"",0.435825578108658,"R"
"6","United States",210630,254000,235000,189567,832.307968267429,242.2245,1074.53246826743,32235.9740480229,0.714808067149761,0.708525286260233,"",0.728693286357567,""
"7","Alameda",737162.5,865000,779500,663446.25,2912.90994947509,847.736875,3760.64682447509,112819.404734253,0.37578698857985,0.378008744445144,"",0.431785125271393,""
"8","Contra-Costa",520200,624450,550000,468180,2055.57900153215,598.23,2653.80900153215,79614.2700459644,0.53641985105299,0.529864755440172,"",0.576012529189973,""
"9","Marin",1062500,1225000,1149500,956250,4198.48652273723,1221.875,5420.36152273723,162610.845682117,0.314888748294812,0.322077951129459,"",0.349546383506328,""
"10","Napa",573750,653000,620000,516375,2267.1827222781,659.8125,2926.9952222781,87809.8566683431,0.45674751449095,0.472298866555134,"",0.471610249025947,""
"11","San Francisco",1276278.4,1370000,1353000,1148650.56,5043.23544626883,1467.72016,6510.95560626883,195328.668188065,0.204379818020148,0.239203312073625,"",0.245906352816277,""
"12","San Mateo",1275000,1441250,1300000,1147500,5038.18382728468,1466.25,6504.43382728468,195133.01481854,0.235445679832747,0.25306290887721,"",0.279982688353773,""
"13","Santa Clara",1079500,1165000,1005000,971550,4265.66230710103,1241.425,5507.08730710103,165212.619213031,0.298000768630543,0.33022445508118,"",0.399263764775338,""
"14","Solano",352750,415750,392500,317475,1393.89752554876,405.6625,1799.56002554876,53986.8007664628,0.63036285630789,0.631065418133064,"",0.637838517051278,""
"15","Sonoma",556750,630000,589000,501075,2200.00693791431,640.2625,2840.26943791431,85208.0831374292,0.43458234315655,0.452503577268562,"",0.451017548574996,""
"16","Los Angeles",470330.5,595110,506640,423297.45,1858.51883810095,540.880075,2399.39891310095,71981.9673930286,0.427410812393927,0.398078404365015,"",0.463593103387699,"R"
"17","Orange County",667250,790000,743500,600525,2636.64953627898,767.3375,3403.98703627898,102119.611088369,0.397397985264095,0.396423994001512,"",0.420130541313663,""
"18","Riverside County",327250,387000,355600,294525,1293.13384900307,376.3375,1669.47134900307,50084.140470092,0.572940056526962,0.572675306230389,"",0.603284727025199,""
"19","San Bernardino",234812.5,270000,250000,211331.25,927.865521524928,270.034375,1197.89989652493,35936.9968957478,0.671503477758962,0.680597720442977,"",0.711168698776655,""
