"","region","Price2018-Q1","Price2017-Q4","principal2018-Q1","pmt2018-Q1","t_i2018-Q1","pti2018-Q1","min_inc2018-Q1","HAI2018-Q1","principal2017-Q4","pmt2017-Q4","t_i2017-Q4","pti2017-Q4","min_inc2017-Q4","HAI2017-Q4","Price2017-Q1","principal2017-Q1","pmt2017-Q1","t_i2017-Q1","pti2017-Q1","min_inc2017-Q1","HAI2017-Q1"
"1","ACTON",610000,580000,488000,2455.25728818564,701.5,3156.75728818564,126270.291527426,0.373925616505592,464000,2260.92257844914,667,2927.92257844914,117116.903137965,0.405926902956956,474500,379600,1891.92987698658,545.675,2437.60487698658,97504.1950794632,0.489561648056557
"2","ADELANTO",215000,208000,172000,865.377568786742,247.25,1112.62756878674,44505.1027514697,0.403193347546973,166400,810.81361434038,239.2,1050.01361434038,42000.5445736152,0.415243225930539,183000,146400,729.658940966374,210.45,940.108940966374,37604.3576386549,0.461099762467821
"3","AGOURA HILLS",782500,750000,626000,3149.57184918896,899.875,4049.44684918896,161977.873967558,0.401231750922984,6e+05,2923.60678247733,862.5,3786.10678247733,151444.271299093,0.366221066214865,762500,610000,3040.24558735989,876.875,3917.12058735989,156684.823494396,0.349752038929851
"4","ALAMEDA",854995,895000,683996,3441.365090348,983.24425,4424.609340348,176984.37361392,0.249524834360173,716000,3488.83742708962,1029.25,4518.08742708962,180723.497083585,0.194134548363486,840000,672000,3349.25415525549,966,4315.25415525549,172610.166210219,0.203859171774169
"5","ALAMO",1695000,1688000,1356000,6822.3952515978,1949.25,8771.64525159781,350865.810063912,0.329709556843412,1350400,6580.06433176232,1941.2,8521.26433176232,340850.573270493,0.283503222927664,1615000,1292000,6439.33983421144,1857.25,8296.58983421144,331863.593368458,0.284169322195458
"6","ALHAMBRA",638000,633900,510400,2567.95762272531,733.7,3301.65762272531,132066.304909012,0.174186651448967,507120,2471.03245254984,728.985,3200.01745254984,128000.698101994,0.159587006367316,550000,440000,2192.96403022681,632.5,2825.46403022681,113018.561209072,0.203502831778525
"7","ALISO VIEJO",594900,555000,475920,2394.47960777318,684.135,3078.61460777318,123144.584310927,0.450486952380711,444000,2163.46901903323,638.25,2801.71901903323,112068.760761329,0.482419696632354,535000,428000,2133.15592031153,615.25,2748.40592031153,109936.236812461,0.487107581166396
"8","ALPINE",604500,592000,483600,2433.11972247249,695.175,3128.29472247249,125131.7888989,2.45796543106425,473600,2307.70028696877,680.8,2988.50028696878,119540.011478751,21.3150442554709,480000,384000,1913.85951728885,552,2465.85951728885,98634.380691554,3.41675641613931
"9","ALTADENA",860000,776000,688000,3461.51027514697,989,4450.51027514697,178020.411005879,0.256307082554653,620800,3024.95848426988,892.4,3917.35848426988,156694.339370795,0.265524137023138,806250,645000,3214.68590794611,927.1875,4141.87340794611,165674.936317845,0.242385270266583
"10","AMERICAN CANYON",515000,491000,412000,2072.88115314034,592.25,2665.13115314034,106605.246125613,0.403302116412024,392800,1913.98790692849,564.65,2478.63790692849,99145.5162771398,0.435949778567879,522500,418000,2083.31582871547,600.875,2684.19082871547,107367.633148619,0.387310027359578
"11","ANAHEIM",547000,535000,437600,2201.68153547139,629.05,2830.73153547139,113229.261418855,0.275825328076959,428000,2085.5061715005,615.25,2700.7561715005,108030.24686002,0.281237612379058,5e+05,4e+05,1993.60366384255,575,2568.60366384255,102744.146553702,0.296848946369804
"12","ANDERSON",227950,223000,182360,917.501473511339,262.1425,1179.64397351134,47185.7589404536,0.378072288962242,178400,869.285749989927,256.45,1125.73574998993,45029.4299995971,0.428741626363686,222000,177600,885.160026746093,255.3,1140.46002674609,45618.4010698437,0.418349301301806
"13","ANTELOPE",330000,323000,264000,1328.25394278895,379.5,1707.75394278895,68310.1577115581,0.523705042667772,258400,1259.09998765357,371.45,1630.54998765357,65221.9995061429,0.521001842143042,305000,244000,1216.09823494396,350.75,1566.84823494396,62673.9293977582,0.535591322268939
"14","ANTIOCH",420000,425000,336000,1690.50501809503,483,2173.50501809503,86940.2007238012,0.420850180053731,340000,1656.71051007049,488.75,2145.46051007049,85818.4204028195,0.426365454912758,394000,315200,1570.95968710793,453.1,2024.05968710793,80962.3874843172,0.446620952789348
"15","APPLE VALLEY",255250,235000,204200,1027.38429968752,293.5375,1320.92179968752,52836.8719875006,0.490265327502268,188000,916.063458509564,270.25,1186.31345850956,47452.5383403826,0.504974409355301,230000,184000,917.057685367573,264.5,1181.55768536757,47262.3074147029,0.504701119183572
"16","APTOS",840000,892500,672000,3381.01003619006,966,4347.01003619006,173880.401447602,0.214254536832059,714000,3479.09207114803,1026.375,4505.46707114803,180218.682845921,0.196178915833884,840000,672000,3349.25415525549,966,4315.25415525549,172610.166210219,0.208786550153279
"17","ARCADIA",972750,1164000,778200,3915.33037226653,1118.6625,5033.99287226653,201359.714890661,0.18023053137397,931200,4537.43772640482,1338.6,5876.03772640482,235041.509056193,0.12023118902732,1100000,880000,4385.92806045361,1265,5650.92806045361,226037.122418144,0.126367626310369
"18","ARCATA",301000,326000,240800,1211.52859630144,346.15,1557.67859630144,62307.1438520576,0.280871076461041,260800,1270.79441478348,374.9,1645.69441478348,65827.7765913392,0.247101736919144,360000,288000,1435.39463796664,414,1849.39463796664,73975.7855186655,0.198386375770138
"19","ARNOLD",292060,285000,233648,1175.5449894877,335.869,1511.4139894877,60456.5595795081,0.471402834854944,228000,1110.97057734139,327.75,1438.72057734139,57548.8230936555,0.572916911679469,290000,232000,1156.29012502868,333.5,1489.79012502868,59591.6050011472,0.556978402947739
"20","ARROYO GRANDE",7e+05,705000,560000,2817.50836349172,805,3622.50836349172,144900.334539669,0.203111187441849,564000,2748.19037552869,810.75,3558.94037552869,142357.615021148,0.176855942562118,614500,491600,2450.13890286249,706.675,3156.8139028625,126272.5561145,0.227525156635782
"21","ATASCADERO",522500,497500,418000,2103.06874274918,600.875,2703.94374274918,108157.749709967,0.30348980006762,398000,1939.32583237663,572.125,2511.45083237663,100458.033295065,0.330592344277373,449000,359200,1790.25609013061,516.35,2306.60609013061,92264.2436052244,0.371116113939891
"22","ATWATER",245000,239900,196000,986.127927222102,281.75,1267.8779272221,50715.1170888841,0.447991519954359,191920,935.164356155083,275.885,1211.04935615508,48441.9742462033,0.49159456245005,238000,190400,948.955343989054,273.7,1222.65534398905,48906.2137595622,0.480015730443428
"23","AUBURN",464000,425000,371200,1867.60554380022,533.6,2401.20554380022,96048.221752009,0.301057478728147,340000,1656.71051007049,488.75,2145.46051007049,85818.4204028195,0.324169075661777,419500,335600,1672.6334739639,482.425,2155.0584739639,86202.338958556,0.319093376487365
"24","AZUSA",432000,428500,345600,1738.80516146918,496.8,2235.60516146918,89424.206458767,0.358649757870101,342800,1670.35400838872,492.775,2163.12900838872,86525.1603355487,0.335330129968981,405000,324000,1614.81896771247,465.75,2080.56896771247,83222.7587084987,0.347820307613035
"25","BAKERSFIELD",226300,229900,181040,910.860203797394,260.245,1171.10520379739,46844.2081518958,0.618920445054824,183920,896.182932388719,264.385,1160.56793238872,46422.7172955487,0.597768050739609,216990,173592,865.18411803439,249.5385,1114.72261803439,44588.9047213756,0.608994221990522
"26","BALDWIN PARK",461000,405000,368800,1855.53050795669,530.15,2385.68050795669,95427.2203182676,0.246862285665427,324000,1578.74766253776,465.75,2044.49766253776,81779.9065015104,0.300273812070063,372500,298000,1485.2347295627,428.375,1913.6097295627,76544.389182508,0.32560652372299
"27","BANNING",250000,244000,2e+05,1006.25298696133,287.5,1293.75298696133,51750.1194784531,0.449727116297597,195200,951.146739899292,280.6,1231.74673989929,49269.8695959717,0.43997453873924,229900,183920,916.658964634805,264.385,1181.0439646348,47241.7585853922,0.460551331485761
"28","BARSTOW",129150,136000,103320,519.830293064222,148.5225,668.352793064222,26734.1117225689,0.631803778628955,108800,530.147363222556,156.4,686.547363222556,27461.8945289023,0.607641472714071,112950,90360,450.355067662032,129.8925,580.247567662032,23209.9027064813,0.656144754045466
"29","BAY POINT",410000,399000,328000,1650.25489861658,471.5,2121.75489861658,84870.1959446631,0.308374750254286,319200,1555.35880827794,458.85,2014.20880827794,80568.3523311176,0.302177907173262,338500,270800,1349.66968042141,389.275,1738.94468042141,69557.7872168563,0.360365836032173
"30","BEAUMONT",318250,319000,254600,1280.96005240177,365.9875,1646.94755240177,65877.9020960708,0.549752556903941,255200,1243.50741814703,366.85,1610.35741814703,64414.296725881,0.541015251472759,3e+05,240000,1196.16219830553,345,1541.16219830553,61646.4879322212,0.555301304603502
"31","BELMONT",1775000,1660000,1420000,7144.39620742543,2041.25,9185.64620742543,367425.848297017,0.176607839152045,1328000,6470.9163452165,1909,8379.9163452165,335196.65380866,0.183374478893525,1570000,1256000,6259.91550446561,1805.5,8065.41550446561,322616.620178624,0.18468705293387
"32","BENICIA",575000,600541,460000,2314.38187001105,661.25,2975.63187001105,119025.274800442,0.406496653585236,480432.8,2340.99432100763,690.62215,3031.61647100763,121264.658840305,0.373290098936878,538000,430400,2145.11754229458,618.7,2763.81754229458,110552.701691783,0.415609970122502
"33","BERKELEY",1150000,1103000,920000,4628.76374002211,1322.5,5951.26374002211,238050.549600884,0.139929136491936,882400,4299.65104143,1268.45,5568.10104143,222724.0416572,0.137091288959327,1072500,858000,4276.27985894227,1233.375,5509.65485894227,220386.194357691,0.134536823590602
"34","BERMUDA DUNES",369000,368000,295200,1485.22940875492,424.35,1909.57940875492,76383.1763501968,0.436992062432166,294400,1434.51639460221,423.2,1857.71639460221,74308.6557840885,0.420714253511205,302500,242000,1206.13021662474,347.875,1554.00521662474,62160.2086649897,0.489236015973467
"35","BLOOMINGTON",304000,320000,243200,1223.60363214497,349.6,1573.20363214497,62928.145285799,0.426649690136749,256000,1247.40556052366,368,1615.40556052366,64616.2224209465,0.402767273502081,290000,232000,1156.29012502868,333.5,1489.79012502868,59591.6050011472,0.439292796094736
"36","BONITA",699500,650000,559600,2815.4958575178,804.425,3619.9208575178,144796.834300712,0.28350456027388,520000,2533.79254481369,747.5,3281.29254481369,131251.701792548,0.349329806677077,621800,497440,2479.2455163546,715.07,3194.3155163546,127772.620654184,0.354684064720437
"37","BOULDER CREEK",605000,551250,484000,2435.13222844641,695.75,3130.88222844641,125235.289137857,0.26633710066693,441000,2148.85098512084,633.9375,2782.78848512084,111311.539404834,0.393015447396108,575000,460000,2292.64421341893,661.25,2953.89421341893,118155.768536757,0.350110951818278
"38","BREA",675000,715000,540000,2716.88306479559,776.25,3493.13306479559,139725.322591823,0.296237789041646,572000,2787.17179929506,822.25,3609.42179929506,144376.871971802,0.245056693067596,686250,549000,2736.2210286239,789.1875,3525.4085286239,141016.341144956,0.251982096738017
"39","BRENTWOOD",610000,586495,488000,2455.25728818564,701.5,3156.75728818564,126270.291527426,0.404135728556701,469196,2286.24101318539,674.46925,2960.71026318539,118428.410527416,0.386408297392892,555000,444000,2212.90006686523,638.25,2851.15006686523,114046.002674609,0.401123589331032
"40","BUENA PARK",570000,569900,456000,2294.25681027183,655.5,2949.75681027183,117990.272410873,0.254549454034111,455920,2221.55134044511,655.385,2876.93634044511,115077.453617804,0.272615339835278,545000,436000,2173.02799358838,626.75,2799.77799358838,111991.119743535,0.279231125921618
"41","BURBANK",758000,775000,606400,3050.95905646675,871.7,3922.65905646675,156906.36225867,0.357913121611118,620000,3021.06034189324,891.25,3912.31034189324,156492.41367573,0.300029366652142,650000,520000,2591.68476299532,747.5,3339.18476299532,133567.390519813,0.397421162434597
"42","BURLINGAME",2204000,1701000,1763200,8871.12633305107,2534.6,11405.7263330511,456229.053322043,0.135496734915415,1360800,6630.74018265859,1956.15,8586.89018265859,343475.607306344,0.190601209489146,1828000,1462400,7288.61499500837,2102.2,9390.81499500837,375632.599800335,0.172213497073619
"43","CALABASAS",1118750,1189500,895000,4502.98211665194,1286.5625,5789.54461665194,231581.784666078,0.272311150867552,951600,4636.84035700905,1367.925,6004.76535700905,240190.614280362,0.246099916783625,1282500,1026000,5113.59339775614,1474.875,6588.46839775614,263538.735910246,0.225293389110503
"44","CALIFORNIA CITY",159900,127500,127920,643.599410460465,183.885,827.484410460465,33099.3764184186,0.669073240833813,102000,497.013153021147,146.625,643.638153021147,25745.5261208459,0.730369322403239,130000,104000,518.336952599063,149.5,667.836952599063,26713.4781039625,0.717074594720837
"45","CAMARILLO",579000,618500,463200,2330.48191780244,665.85,2996.33191780244,119853.276712097,0.405285036511799,494800,2411.00105994964,711.275,3122.27605994964,124891.042397986,0.310962119894275,542400,433920,2162.6612545364,623.76,2786.4212545364,111456.850181456,0.375035767645752
"46","CAMBRIA",587000,685000,469600,2362.6820133852,675.05,3037.7320133852,121509.280535408,0.246071618840742,548000,2670.22752799596,787.75,3457.97752799596,138319.101119839,0.207991623013876,540000,432000,2153.09195694996,621,2774.09195694996,110963.678277998,0.297391146564901
"47","CAMERON PARK",472500,443000,378000,1901.81814535691,543.375,2445.19314535691,97807.7258142764,0.449519105852498,354400,1726.87707284994,509.45,2236.32707284994,89453.0829139978,0.46949063005325,412750,330200,1645.71982450203,474.6625,2120.38232450203,84815.292980081,0.486714818117464
"48","CAMPBELL",1400000,1350000,1120000,5635.01672698344,1610,7245.01672698344,289800.669079338,0.134420422106829,1080000,5262.4922084592,1552.5,6814.9922084592,272599.688338368,0.107022852637313,1169025,935220,4661.14504624708,1344.37875,6005.52379624708,240220.951849883,0.120966926850737
"49","CANYON LAKE",419000,450000,335200,1686.48000614719,481.85,2168.33000614719,86733.2002458874,0.457445712251188,360000,1754.1640694864,517.5,2271.6640694864,90866.562779456,0.406052913706539,412500,330000,1644.7230226701,474.375,2119.0980226701,84763.9209068042,0.444372396974082
"50","CARLSBAD",825500,817500,660400,3322.64736294631,949.325,4271.97236294631,170878.894517852,0.278040726562879,654000,3186.73139290029,940.125,4126.85639290029,165074.255716012,0.262798745655822,773750,619000,3085.10166979635,889.8125,3974.91416979635,158996.566791854,0.268402415815272
"51","CARMICHAEL",387000,370000,309600,1557.67962381614,445.05,2002.72962381614,80109.1849526454,0.416654838768453,296000,1442.31267935548,425.5,1867.81267935548,74712.5071742194,0.409213531678912,340000,272000,1355.65049141293,391,1746.65049141293,69866.0196565174,0.437382479408806
"52","CARSON",487500,507500,390000,1962.19332457459,560.625,2522.81832457459,100912.732982984,0.383963998318916,406000,1978.307256143,583.625,2561.932256143,102477.29024572,0.340482050510314,432500,346000,1724.46716922381,497.375,2221.84216922381,88873.6867689523,0.412906943548492
"53","CASTRO VALLEY",797500,815000,638000,3209.94702840664,917.125,4127.07202840664,165082.881136265,0.272252482485897,652000,3176.9860369587,937.25,4114.2360369587,164569.441478348,0.236693922106975,745000,596000,2970.4694591254,856.75,3827.2194591254,153088.778365016,0.255051191440797
"54","CATHEDRAL CITY",281000,285000,224800,1131.02835734453,323.15,1454.17835734453,58167.1342937813,0.414988033695924,228000,1110.97057734139,327.75,1438.72057734139,57548.8230936555,0.404763430560533,254000,203200,1012.75066123202,292.1,1304.85066123202,52194.0264492806,0.439061885542717
"55","CERES",285050,273500,228040,1147.32965573331,327.8075,1475.13715573331,59005.4862293323,0.496029383578667,218800,1066.14194001007,314.525,1380.66694001007,55226.6776004027,0.477459154126088,250000,2e+05,996.801831921276,287.5,1284.30183192128,51372.073276851,0.502148072796458
"56","CHICO",337250,329000,269800,1357.43527941083,387.8375,1745.27277941083,69810.9111764333,0.372418307301756,263200,1282.48884191339,378.35,1660.83884191339,66433.5536765356,0.375130453471982,303000,242400,1208.12382028859,348.45,1556.57382028859,62262.9528115434,0.394140282236649
"57","CHINO",483500,465000,386800,1946.09327678321,556.025,2502.11827678321,100084.731071328,0.373876591384924,372000,1812.63620513595,534.75,2347.38620513595,93895.4482054379,0.367787145692376,430000,344000,1714.49915090459,494.5,2208.99915090459,88359.9660361838,0.399151456402388
"58","CHINO HILLS",691000,655000,552800,2781.28325596111,794.65,3575.93325596111,143037.330238444,0.31710923857203,524000,2553.28325669687,753.25,3306.53325669687,132261.330267875,0.322657932682358,625800,500640,2495.19434566534,719.67,3214.86434566534,128594.573826613,0.333558371516428
"59","CHOWCHILLA",249900,221000,199920,1005.85048576654,287.385,1293.23548576654,51729.4194306618,0.391462456452541,176800,861.489465236654,254.15,1115.63946523665,44625.5786094662,0.429681561841435,225000,180000,897.121648729148,258.75,1155.87164872915,46234.8659491659,0.408113906383996
"60","CHULA VISTA",505000,490000,404000,2032.63103366188,580.75,2613.38103366188,104535.241346475,2.4983794886193,392000,1910.08976455186,563.5,2473.58976455186,98943.5905820743,21.7103773637419,450000,360000,1794.2432974583,517.5,2311.7432974583,92469.7318983318,2.95364584112926
"61","CITRUS HEIGHTS",317000,310000,253600,1275.92878746696,364.55,1640.47878746696,65619.1514986786,0.434461695284682,248000,1208.4241367573,356.5,1564.9241367573,62596.9654702919,0.437531180457173,280000,224000,1116.41805175183,322,1438.41805175183,57536.7220700731,0.475847576446932
"62","CLAREMONT",630922.5,657500,504738,2539.47060066443,725.560875,3265.03147566443,130601.259026577,0.372712502531922,526000,2563.02861263846,756.125,3319.15361263846,132766.144505539,0.333552537813052,633500,506800,2525.89584208851,728.525,3254.42084208851,130176.83368354,0.335822962932569
"63","CLAYTON",777500,805000,622000,3129.44678944973,894.125,4023.57178944973,160942.871577989,0.416820554822012,644000,3138.00461319234,925.75,4063.75461319234,162550.184527693,0.385589690059264,745000,596000,2970.4694591254,856.75,3827.2194591254,153088.778365016,0.404726603509078
"64","CLEARLAKE",150000,135000,120000,603.751792176797,172.5,776.251792176797,31050.0716870719,0.472468126200658,108000,526.24922084592,155.25,681.49922084592,27259.9688338368,0.474682921126333,138000,110400,550.234611220544,158.7,708.934611220544,28357.3844488218,0.452527250422291
"65","CLOVERDALE",558000,549950,446400,2245.95666689768,641.7,2887.65666689768,115506.266675907,0.283298720865364,439960,2143.78340003121,632.4425,2776.22590003121,111049.036001249,0.30306041697424,445000,356000,1774.30726081987,511.75,2286.05726081987,91442.2904327948,0.386282739422819
"66","CLOVIS",320000,326098,256000,1288.0038233105,368,1656.0038233105,66240.15293242,0.543047983530821,260878.4,1271.17643273639,375.0127,1646.18913273639,65847.5653094557,0.508816147399023,3e+05,240000,1196.16219830553,345,1541.16219830553,61646.4879322212,0.533746947363822
"67","COACHELLA",249400,258000,199520,1003.83797979262,286.81,1290.64797979262,51625.9191917048,0.391523245567279,206400,1005.7207331722,296.7,1302.4207331722,52096.8293268881,0.389208514957953,235000,188000,936.993722005999,270.25,1207.243722006,48289.74888024,0.420673580243322
"68","COALINGA",165000,159450,132000,664.126971394477,189.75,853.876971394477,34155.0788557791,0.672955881212603,127560,621.558801954681,183.3675,804.926301954681,32197.0520781872,0.689651083033808,170000,136000,677.825245706467,195.5,873.325245706467,34933.0098282587,0.656329247112823
"69","COARSEGOLD",275000,272500,220000,1106.87828565746,316.25,1423.12828565746,56925.1314262984,0.492823657153708,218000,1062.24379763343,313.375,1375.61879763343,55024.7519053372,0.408147854438976,244000,195200,972.878587955165,280.6,1253.47858795516,50139.1435182066,0.433504241718471
"70","COLFAX",355000,336000,284000,1428.87924148509,408.25,1837.12924148509,73485.1696594035,0.477156874635067,268800,1309.77583854985,386.4,1696.17583854985,67847.0335419938,0.457427293256122,386500,309200,1541.05563215029,444.475,1985.53063215029,79421.2252860117,0.388697451052259
"71","COLTON",291000,3e+05,232800,1171.27847682299,334.65,1505.92847682299,60237.1390729194,0.3781528802365,240000,1169.44271299093,345,1514.44271299093,60577.7085196373,0.354188759752992,249000,199200,992.81462459359,286.35,1279.16462459359,51166.5849837436,0.42229183483889
"72","COMPTON",380000,357500,304000,1529.50454018122,437,1966.50454018122,78660.1816072488,0.274565249022014,286000,1393.58589964753,411.125,1804.71089964753,72188.4359859011,0.294271753078815,340000,272000,1355.65049141293,391,1746.65049141293,69866.0196565174,0.306810672155349
"73","CONCORD",561000,555000,448800,2258.03170274122,645.15,2903.18170274122,116127.268109649,0.328168680150961,444000,2163.46901903323,638.25,2801.71901903323,112068.760761329,0.313836175174536,515000,412000,2053.41177375783,592.25,2645.66177375783,105826.470950313,0.332476232798898
"74","COPPEROPOLIS",288465,329750,230772,1161.0750715352,331.73475,1492.8098215352,59712.3928614079,0.555106192293077,263800,1285.41244869587,379.2125,1664.62494869587,66584.9979478347,0.508253813749507,235000,188000,936.993722005999,270.25,1207.243722006,48289.74888024,0.630758869486633
"75","CORONA",479000,470000,383200,1927.9807230179,550.85,2478.8307230179,99153.2289207162,0.406099178729913,376000,1832.12691701913,540.5,2372.62691701913,94905.0766807652,0.407595447125489,430000,344000,1714.49915090459,494.5,2208.99915090459,88359.9660361838,0.442998674672059
"76","CORONADO",1668750,1775000,1335000,6716.73868796687,1919.0625,8635.80118796687,345432.047518675,0.112723646198029,1420000,6919.20271852969,2041.25,8960.45271852969,358418.108741188,0.104961573747326,1454000,1163200,5797.39945445414,1672.1,7469.49945445414,298779.978178166,0.12216007331138
"77","COSTA MESA",8e+05,777500,640000,3220.00955827625,920,4140.00955827625,165600.38233105,0.167732928604251,622000,3030.80569783483,894.125,3924.93069783483,156997.227913393,0.161150018326539,759500,607600,3028.28396537683,873.425,3901.70896537683,156068.358615073,0.158805673435011
"78","COTO DE CAZA",1100000,1239000,880000,4427.51314262984,1265,5692.51314262984,227700.525705194,0.378206851730628,991200,4829.79840465256,1424.85,6254.64840465256,250185.936186102,0.325131148625643,1055000,844000,4206.50373070778,1213.25,5419.75373070778,216790.149228311,0.382292531615447
"79","COTTONWOOD",230000,264900,184000,925.752748004422,264.5,1190.25274800442,47610.1099201769,0.524199732541667,211920,1032.61791557099,304.635,1337.25291557099,53490.1166228398,0.408310272261204,233050,186440,929.218667717013,268.0075,1197.22616771701,47889.0467086805,0.458234362835699
"80","COVINA",525000,515000,420000,2113.13127261879,603.75,2716.88127261879,108675.250904752,0.299074265627771,412000,2007.54332396777,592.25,2599.79332396777,103991.732958711,0.284742899459562,483000,386400,1925.8211392719,555.45,2481.2711392719,99250.8455708762,0.301272600926462
"81","CRESTLINE",240000,232000,192000,966.002867482875,276,1242.00286748287,49680.114699315,0.540443879973427,185600,904.369031379655,266.8,1171.16903137966,46846.7612551862,0.518171032272204,192900,154320,769.132293510456,221.835,990.967293510456,39638.6917404182,0.582384475679893
"82","CUPERTINO",2230000,1890000,1784000,8975.77664369505,2564.5,11540.276643695,461611.065747802,0.174378218235216,1512000,7367.48909184288,2173.5,9540.98909184288,381639.563673715,0.194974034224973,1800000,1440000,7176.97318983318,2070,9246.97318983318,369878.927593327,0.196671594196155
