,place,Price2018-Q1,Price2017-Q4,principal2018-Q1,pmt2018-Q1,t_i2018-Q1,pti2018-Q1,min_inc2018-Q1,HAI2018-Q1,principal2017-Q4,pmt2017-Q4,t_i2017-Q4,pti2017-Q4,min_inc2017-Q4,HAI2017-Q4,Price2017-Q1,principal2017-Q1,pmt2017-Q1,t_i2017-Q1,pti2017-Q1,min_inc2017-Q1,HAI2017-Q1
1,Acton,610000,580000,488000,2455.257288,701.5,3156.757288,126270.2915,19.26197153,464000,2334.50693,667,3001.50693,120060.2772,19.23050813,474500,379600,1909.868169,545.675,2455.543169,98221.72677,41.72981897
2,Agoura Hills,1099000,1007500,879200,4423.488131,1263.85,5687.338131,227493.5252,17.68248788,806000,4055.199537,1158.625,5213.824537,208552.9815,16.26308041,917500,734000,3692.948462,1055.125,4748.073462,189922.9385,18.07465351
3,Agua Dulce,635000,617500,508000,2555.882587,730.25,3286.132587,131445.3035,21.50372949,494000,2485.444878,710.125,3195.569878,127822.7951,13.58234117,620000,496000,2495.507408,713,3208.507408,128340.2963,13.32328185
4,Ahwahnee,490000,292405,392000,1972.255854,563.5,2535.755854,101430.2342,12.16844386,233924,1176.933619,336.26575,1513.199369,60527.97474,45.32786057,399000,319200,1605.979767,458.85,2064.829767,82593.19069,25.07501179
5,Alameda,965000,1004250,772000,3884.13653,1109.75,4993.88653,199755.4612,12.20817751,803400,4042.118249,1154.8875,5197.005749,207880.2299,9.151332027,980000,784000,3944.511709,1127,5071.511709,202860.4684,9.018766483
6,Alamo,1785000,1688000,1428000,7184.646327,2052.75,9237.396327,369495.8531,15.51266873,1350400,6794.220168,1941.2,8735.420168,349416.8067,15.16225114,1630000,1304000,6560.769475,1874.5,8435.269475,337410.779,16.08399186
7,Albany,1080000,1220000,864000,4347.012904,1242,5589.012904,223560.5161,11.81373988,976000,4910.514576,1403,6313.514576,252540.5831,7.487557721,975000,780000,3924.386649,1121.25,5045.636649,201825.466,9.969889576
8,Albion,479000,453200,383200,1927.980723,550.85,2478.830723,99153.22892,21.78423542,362560,1824.135415,521.18,2345.315415,93812.61659,14.46096079,450000,360000,1811.255377,517.5,2328.755377,93150.21506,14.35987969
9,Alhambra,760000,708000,608000,3059.00908,874,3933.00908,157320.3632,6.324700777,566400,2849.708459,814.2,3663.908459,146556.3384,5.682949792,640000,512000,2576.007647,736,3312.007647,132480.3059,6.823946097
10,Altadena,862500,777000,690000,3471.572805,991.875,4463.447805,178537.9122,15.99342532,621600,3127.434283,893.55,4020.984283,160839.3713,16.0948539,806250,645000,3245.165883,927.1875,4172.353383,166894.1353,15.08306778
