"","RegionSalesCar","2018 Q3","2018 Q2","Quarter_Rev","2017 Q3","principal","pmt","t_i","pti","min_inc","HAI.x","HAI.y"
"1","CA SFH (SAAR)",588530,596650,"",555680,477320,2475.56199201576,686.1475,3161.70949201576,126468.379680631,0.261954528517803,0.2619074962278
"2","CA Condo/Townhomes",479390,477790,"",446800,382232,1982.3996717761,549.4585,2531.8581717761,101274.326871044,0.355310689918887,0.355310689918887
"3","Los Angeles Metropolitan Area",526000,530000,"",502000,424000,2199.02431202272,609.5,2808.52431202272,112340.972480909,0.293250384480928,0.293250384480928
"4","Inland Empire",362500,360000,"",339900,288000,1493.67689118524,414,1907.67689118524,76307.0756474097,0.408124055291717,0.408124055291717
"5","S.F. Bay Area",950000,1035000,"",860000,828000,4294.32106215757,1190.25,5484.57106215757,219382.842486303,0.181712493593517,0.181712493593517
"6","United States",266900,269000,"",254000,215200,1116.10856591342,309.35,1425.45856591342,57018.3426365367,0.530901430222858,0.530901430222858
"7","Alameda",950000,1e+06,"",865000,8e+05,4149.10247551456,1150,5299.10247551456,211964.099020582,0.164279301471284,0.164279301471284
"8","Contra-Costa",660000,695000,"",624450,556000,2883.62622048262,799.25,3682.87622048262,147315.048819305,0.292461670993933,0.292461670993933
"9","Marin",1300000,1400000,"",1225000,1120000,5808.74346572038,1610,7418.74346572038,296749.738628815,0.179371270102963,0.179371270102963
"10","Napa",729500,707250,"",653000,565800,2934.45272580767,813.3375,3747.79022580767,149911.609032307,0.251855563672626,0.251855563672626
"11","San Francisco",1600000,1625000,"",1370000,1300000,6742.29152271116,1868.75,8611.04152271116,344441.660908446,0.143933986107509,0.143933986107509
"12","San Mateo",1600000,1650000,"",1441250,1320000,6846.01908459902,1897.5,8743.51908459902,349740.763383961,0.138096257783811,0.138096257783811
"13","Santa Clara",1300000,1405000,"",1165000,1124000,5829.48897809796,1615.75,7445.23897809796,297809.559123918,0.164211513617528,0.164211513617528
"14","Solano",455000,450000,"",415750,360000,1867.09611398155,517.5,2384.59611398155,95383.8445592621,0.384327185494029,0.384327185494029
"15","Sonoma",660000,695000,"",630000,556000,2883.62622048262,799.25,3682.87622048262,147315.048819305,0.198482782872517,0.198482782872517
"16","Los Angeles",628940,557220,"",595110,445776,2311.96288140622,640.803,2952.76588140622,118110.635256249,0.261433101128526,0.261433101128526
"17","Orange County",830000,830000,"",790000,664000,3443.75505467708,954.5,4398.25505467708,175930.202187083,0.19628745107944,0.19628745107944
"18","Riverside County",405000,405000,"",387000,324000,1680.3865025834,465.75,2146.1365025834,85845.4601033359,0.374066509591585,0.374066509591585
"19","San Bernardino",294900,290000,"",270000,232000,1203.23971789922,333.5,1536.73971789922,61469.5887159689,0.491651055416699,0.491651055416699
"20","San Diego",650000,645000,"",607000,516000,2676.17109670689,741.75,3417.92109670689,136716.843868276,0.230108026908193,0.230108026908193
"21","Ventura",665000,670000,"",634000,536000,2779.89865859476,770.5,3550.39865859476,142015.94634379,0.27847161652266,0.27847161652266
"22","Monterey",622000,647000,"",585000,517600,2684.46930165792,744.05,3428.51930165792,137140.772066317,0.191083413895076,0.191083413895076
"23","San Luis Obispo",640000,618500,"",599000,494800,2566.21988110576,711.275,3277.49488110576,131099.79524423,0.224413900709572,0.224413900709572
"24","Santa Barbara",599500,695000,"",664535,556000,2883.62622048262,799.25,3682.87622048262,147315.048819305,0.199801154246993,0.199801154246993
"25","Santa Cruz",903000,905000,"",830000,724000,3754.93774034068,1040.75,4795.68774034068,191827.509613627,0.122081892868188,0.122081892868188
"26","Fresno",275060,270000,"R",260000,216000,1120.25766838893,310.5,1430.75766838893,57230.3067355573,0.4636737120958,0.465946791353718
"27","Kern (Bakersfield)",246000,244000,"",235000,195200,1012.38100402555,280.6,1292.98100402555,51719.2401610221,0.53143796704387,0.53143796704387
"28","Kings County",230000,235000,"",225000,188000,975.039081745922,270.25,1245.28908174592,49811.5632698369,0.50078780200716,0.50078780200716
"29","Madera",260000,259000,"R",264900,207200,1074.61754115827,297.85,1372.46754115827,54898.7016463308,0.482249459133983,0.515954294447444
"30","Merced",276320,265000,"",255000,212000,1099.51215601136,304.75,1404.26215601136,56170.4862404543,0.417468214474652,0.417468214474652
"31","Placer County",480000,495900,"",455000,396720,2057.53991760767,570.285,2627.82491760767,105112.996704307,0.405467325269973,0.405467325269973
"32","Sacramento",370000,374000,"",350000,299200,1551.76432584245,430.1,1981.86432584245,79274.5730336978,0.413946929905669,0.413946929905669
"33","San Benito",610000,571000,"",550000,456800,2369.13751351881,656.65,3025.78751351881,121031.500540753,0.303203499502588,0.303203499502588
"34","San Joaquin",370000,373375,"",352250,298700,1549.17113679525,429.38125,1978.55238679525,79142.09547181,0.377843164940126,0.377843164940126
"35","Stanislaus",319900,315000,"",295000,252000,1306.96727978709,362.25,1669.21727978709,66768.6911914834,0.452966432754409,0.452966432754409
"36","Tulare",239900,233000,"",225000,186400,966.740876794892,267.95,1234.69087679489,49387.6350717957,0.477458173174809,0.477458173174809
"37","Butte County",315000,320000,"",299900,256000,1327.71279216466,368,1695.71279216466,67828.5116865864,0.378457535477773,0.378457535477773
"38","Calaveras",332950,329000,"",339000,263200,1365.05471444429,378.35,1743.40471444429,69736.1885777716,0.433919798449197,0.433919798449197
"39","El Dorado County",489500,525000,"",462750,420000,2178.27879964514,603.75,2782.02879964514,111281.151985806,0.379081984239247,0.379081984239247
"40","Humboldt",315000,315000,"",318000,252000,1306.96727978709,362.25,1669.21727978709,66768.6911914834,0.332066099897913,0.332066099897913
"41","Lake County",266250,283000,"",249950,226400,1174.19600057062,325.45,1499.64600057062,59985.8400228248,0.369003739883292,0.369003739883292
"42","Lassen",175000,192500,"",186500,154000,798.702226536553,221.375,1020.07722653655,40803.0890614621,0.635987134963253,0.635987134963253
"43","Mariposa",315000,320000,"",270000,256000,1327.71279216466,368,1695.71279216466,67828.5116865864,0.393358397729938,0.393358397729938
"44","Mendocino",420000,430000,"",391000,344000,1784.11406447126,494.5,2278.61406447126,91144.5625788504,0.222417931631611,0.222417931631611
"45","Mono",675000,624500,"",571000,499600,2591.11449595884,718.175,3309.28949595884,132371.579838354,0.137324544117091,0.137324544117091
"46","Nevada",429500,435000,"",393000,348000,1804.85957684883,500.25,2305.10957684883,92204.3830739533,0.317190022086645,0.317190022086645
"47","Plumas",282000,297000,"",285000,237600,1232.28343522782,341.55,1573.83343522782,62953.337409113,0.415860372614072,0.415860372614072
"48","Shasta",275000,265500,"",250000,212400,1101.58670724912,305.325,1406.91170724912,56276.4682899646,0.458733661000151,0.458733661000151
"49","Siskiyou County",214200,207500,"",203500,166000,860.938763669271,238.625,1099.56376366927,43982.5505467708,0.480548180642537,0.480548180642537
"50","Sutter",298500,299950,"",280600,239960,1244.52328753059,344.9425,1589.46578753059,63578.6315012237,0.452601081763067,0.452601081763067
"51","Tehama",223950,215900,"",208500,172720,895.791224463593,248.285,1144.07622446359,45763.0489785437,0.508089051047797,0.508089051047797
"52","Tuolumne",318000,308500,"",289000,246800,1279.99811369624,354.775,1634.77311369624,65390.9245478497,0.432366513384233,0.432366513384233
"53","Yolo",450000,469500,"",435000,375600,1948.00361225409,539.925,2487.92861225409,99517.1444901635,0.334711376494951,0.334711376494951
"54","Yuba",270000,290000,"",268516,232000,1203.23971789922,333.5,1536.73971789922,61469.5887159689,0.449368820083935,0.449368820083935
