"","X1","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"1",NA,"ACTON","2018-Q3",599000,"2018-07-01",2505.51410005515,479200,688.85,3194.36410005515,127774.564002206,0.372363411904418
"2",NA,"ADELANTO","2018-Q3",222000,"2018-07-01",928.587863459503,177600,255.3,1183.8878634595,47355.5145383801,0.373518927956512
"3",NA,"AGOURA HILLS","2018-Q3",895000,"2018-07-01",3743.63125133448,716000,1029.25,4772.88125133448,190915.250053379,0.332016391236251
"4",NA,"ALAMEDA","2018-Q3",1018618,"2018-07-01",4260.70410946573,814894.4,1171.4107,5432.11480946573,217284.592378629,0.176279493952376
"5",NA,"ALAMO","2018-Q3",1564500,"2018-07-01",6544.03474046123,1251600,1799.175,8343.20974046123,333728.389618449,0.346244533471989
"6",NA,"ALHAMBRA","2018-Q3",659500,"2018-07-01",2758.57520698893,527600,758.425,3517.00020698893,140680.008279557,0.155732174039668
"7",NA,"ALISO VIEJO","2018-Q3",623000,"2018-07-01",2605.9019771859,498400,716.45,3322.3519771859,132894.079087436,0.413822810469116
"8",NA,"ALPINE","2018-Q3",629895,"2018-07-01",2634.74257771993,503916,724.37925,3359.12182771993,134364.873108797,2.18360274993347
"9",NA,"ALTADENA","2018-Q3",835000,"2018-07-01",3492.66155850759,668000,960.25,4452.91155850759,178116.462340304,0.261560931028634
"10",NA,"AMERICAN CANYON","2018-Q3",576500,"2018-07-01",2411.40046524506,461200,662.975,3074.37546524506,122975.018609802,0.344118699622535
"11",NA,"ANAHEIM","2018-Q3",570000,"2018-07-01",2384.21208185548,456000,655.5,3039.71208185548,121588.483274219,0.245852586465819
"12",NA,"ANDERSON","2018-Q3",225000,"2018-07-01",941.136348100848,180000,258.75,1199.88634810085,47995.4539240339,0.373091246769227
"13",NA,"ANTELOPE","2018-Q3",348500,"2018-07-01",1457.71563250287,278800,400.775,1858.49063250287,74339.6253001148,0.482064160215526
