"","region","Price2018-Q3","Price2018-Q2","principal2018-Q3","pmt2018-Q3","t_i2018-Q3","pti2018-Q3","min_inc2018-Q3","HAI2018-Q3","principal2018-Q2","pmt2018-Q2","t_i2018-Q2","pti2018-Q2","min_inc2018-Q2","HAI2018-Q2","Price2017-Q3","principal2017-Q3","pmt2017-Q3","t_i2017-Q3","pti2017-Q3","min_inc2017-Q3","HAI2017-Q3"
"1","ACAMPO",577500,575000,462000,2415.58329345884,664.125,3079.70829345884,123188.331738354,0.311193796965893,460000,2405.12622292439,661.25,3066.37622292439,122655.048916976,0.310589888629498,619250,495400,2590.21637138422,712.1375,3302.35387138422,132094.154855369,0.31733927704127
"2","ACTON",599000,599950,479200,2505.51410005515,688.85,3194.36410005515,127774.564002206,0.372363411904418,479960,2509.48778685824,689.9425,3199.43028685824,127977.21147433,0.369507309697881,599000,479200,2505.51410005515,688.85,3194.36410005515,127774.564002206,0.357710037701198
"3","ADELANTO",222000,225000,177600,928.587863459503,255.3,1183.8878634595,47355.5145383801,0.373518927956512,180000,941.136348100848,258.75,1199.88634810085,47995.4539240339,0.364908226685759,196500,157200,821.925744008074,225.975,1047.90074400807,41916.029760323,0.415518000037025
"4","AGOURA HILLS",895000,965000,716000,3743.63125133448,1029.25,4772.88125133448,190915.250053379,0.332016391236251,772000,4036.42922629919,1109.75,5146.17922629919,205847.169051968,0.295331033005392,880000,704000,3680.88882812776,1012,4692.88882812776,187715.55312511,0.279072808548489
"5","AGUA DULCE",634000,650000,507200,2651.9130875375,729.1,3381.0130875375,135240.5235015,0.381787410402366,520000,2718.83833895801,747.5,3466.33833895801,138653.53355832,0.364908339612237,647000,517600,2706.28985431666,744.05,3450.33985431666,138013.594172666,0.246370206108554
"6","AGUANGA",416500,385000,333200,1742.14795104001,478.975,2221.12295104001,88844.9180416006,0.303248996299609,308000,1610.3888623059,442.75,2053.1388623059,82125.5544922358,0.34180395966095,392000,313600,1639.66865980237,450.8,2090.46865980237,83618.7463920947,0.259376995976483
"7","AHWAHNEE",332750,234750,266200,1391.83608813581,382.6625,1774.49858813581,70979.9435254324,0.425427885771245,187800,981.918923185218,269.9625,1251.88142318522,50075.2569274087,0.576238871025356,324000,259200,1355.23634126522,372.6,1727.83634126522,69113.4536506088,0.387898818077924
"8","ALAMEDA",1018618,945000,814894.4,4260.70410946573,1171.4107,5432.11480946573,217284.592378629,0.176279493952376,756000,3952.77266202356,1086.75,5039.52266202356,201580.906480942,0.196164845875971,909000,727200,3802.19084632743,1045.35,4847.54084632743,193901.633853097,0.165042041944003
"9","ALAMO",1564500,1745000,1251600,6544.03474046123,1799.175,8343.20974046123,333728.389618449,0.346244533471989,1396000,7299.0352330488,2006.75,9305.7852330488,372231.409321952,0.316938844988634,1645000,1316000,6880.75241167064,1891.75,8772.50241167064,350900.096466826,0.275181349287925
"10","ALBANY",805000,950000,644000,3367.17671209414,925.75,4292.92671209414,171717.068483766,0.2634561624108,760000,3973.68680309247,1092.5,5066.18680309247,202647.472123699,0.200301319899001,917500,734000,3837.74488614457,1055.125,4892.86988614457,195714.795445783,0.171139909392109
