"","Period","FTBrate","HAIrate"
"1","2000 Q1",6.834922076,"NA"
"2","2000 Q2",7.180122243,"NA"
"3","2000 Q3",7.419213617,"NA"
"4","2000 Q4",7.319157433,"NA"
"5","2001 Q1",6.611017673,"NA"
"6","2001 Q2",6.06199011,"NA"
"7","2001 Q3",5.790854215,"NA"
"8","2001 Q4",5.353069282,"NA"
"9","2002 Q1",5.19188976,"NA"
"10","2002 Q2",4.891737844,"NA"
"11","2002 Q3",4.470273991,"NA"
"12","2002 Q4",4.264287799,"NA"
"13","2003 Q1",3.959125825,"NA"
"14","2003 Q2",3.740783371,"NA"
"15","2003 Q3",3.825655804,"NA"
"16","2003 Q4",3.831002955,"NA"
"17","2004 Q1",3.618215642,"NA"
"18","2004 Q2",3.964915582,"NA"
"19","2004 Q3",4.142959897,"NA"
"20","2004 Q4",4.206467832,"NA"
"21","2005 Q1",4.271175634,"NA"
"22","2005 Q2",4.327881064,"NA"
"23","2005 Q3",4.5811534,"NA"
"24","2005 Q4",5.147763871,"NA"
"25","2006 Q1",5.407928589,"NA"
"26","2006 Q2",5.757097042,"NA"
"27","2006 Q3",5.762392239,"NA"
"28","2006 Q4",5.599049619,"NA"
"29","2007 Q1",5.55716904,"NA"
"30","2007 Q2",5.643974216,"NA"
"31","2007 Q3",5.764900839,"NA"
"32","2007 Q4",5.637884169,"NA"
"33","2008 Q1",5.210060233,"NA"
"34","2008 Q2",5.276905512,"NA"
"35","2008 Q3",5.296959256,"NA"
"36","2008 Q4",5.220811276,"NA"
"37","2009 Q1",4.961468763,"NA"
"38","2009 Q2",4.920558494,"NA"
"39","2009 Q3",4.787707979,"NA"
"40","2009 Q4",4.50034593,"NA"
"41","2010 Q1",4.334463111,"5.09"
"42","2010 Q2",4.090524291,"5.07"
"43","2010 Q3",3.662756143,"4.78"
"44","2010 Q4",3.394297497,"4.62"
"45","2011 Q1",3.352091919,"4.9"
"46","2011 Q2",3.04,"4.85"
"47","2011 Q3",2.98,"4.63"
"48","2011 Q4",2.95,"4.3"
"49","2012 Q1",2.843284197,"4.16"
"50","2012 Q2",2.824618406,"3.92"
"51","2012 Q3",2.709142908,"3.72"
"52","2012 Q4",2.621384125,"3.5"
"53","2013 Q1",2.661442706,"2.66"
"54","2013 Q2",2.641413391,"2.64"
"55","2013 Q3",2.711516211,"2.71"
"56","2013 Q4",2.651428042,"2.65"
"57","2014 Q1",2.571311176,"4.46"
"58","2014 Q2",2.471166204,"4.32"
"59","2014 Q3",2.451137358,"4.23"
"60","2014 Q4",2.471166204,"4.2"
"61","2015 Q1",2.47,"3.97"
"62","2015 Q2",2.55,"3.95"
"63","2015 Q3",2.62,"4.16"
"64","2015 Q4",2.6508,"4.07"
"65","2016 Q1",2.96,"4.01"
"66","2016 Q2",2.84,"3.85"
"67","2016 Q3",2.83,"3.76"
"68","2016 Q4",3.07,"3.91"
"69","2017 Q1",3.24,"4.36"
"70","2017 Q2",3.2,"4.09"
"71","2017 Q3",3.24,"4.16"
"72","2017 Q4",3.32,"4.17"
"73","2018 Q1",3.62,"4.44"
