county,address_city,city
Alameda,ALAMEDA,Alameda
Alameda,Alameda,Alameda
Alameda,Alameda (ALA),Alameda
Alameda,Alameda (ALA),Alameda
Alameda,ALBANY,Albany
Alameda,Albany,Albany
Alameda,BERKELEY,Berkeley
Alameda,Berkeley,Berkeley
Alameda,CASTRO VALLEY,Castro Valley
Alameda,Castro Valley,Castro Valley
Alameda,castro valley,Castro Valley
Alameda,DUBLIN,Dublin
Alameda,Dublin,Dublin
Alameda,dublin,Dublin
Alameda,EMERYVILLE,Emeryville
Alameda,Emeryville,Emeryville
Alameda,Emeryville (EME),Emeryville
Alameda,Emeryville (EME),Emeryville
Alameda,FREMONT,Fremont
Alameda,Fremont,Fremont
Alameda,Fremont (FRMNT),Fremont
Alameda,Fremont (FRMNT),Fremont
Alameda,HAYWARD,Hayward
Alameda,Hayward,Hayward
Alameda,hayward,Hayward
Alameda,Hayward (HAY),Hayward
Alameda,Hayward (HAY),Hayward
Alameda,HAYWARD HILLS,Hayward Hills
Alameda,LIVERMORE,Livermore
Alameda,Livermore,Livermore
Alameda,livermore,Livermore
Alameda,Livermore (LVE),Livermore
Alameda,Livermore (LVE),Livermore
Alameda,MONTCLAIR,Montclair
Alameda,Montclair,Montclair
Alameda,NEWARK,Newark
Alameda,Newark,Newark
Alameda,OAKLAND,Oakland
Alameda,Oakland,Oakland
Alameda,oakland,Oakland
Alameda,Oakland (OKL),Oakland
Alameda,Out Of Area,Out of Area
Alameda,Out of Area - in CA,Out of Area
Alameda,Outside Area (Inside Ca),Out of Area
Alameda,PIEDMONT,Piedmont
Alameda,Piedmont,Piedmont
Alameda,Piedmont (PDM),Piedmont
Alameda,Piedmont (PDM),Piedmont
Alameda,PLEASANTON,Pleasanton
Alameda,Pleasanton,Pleasanton
Alameda,SAN LEANDRO,San Leandro
Alameda,San Leandro,San Leandro
Alameda,San Leandro (SLD),San Leandro
Alameda,SAN LORENZO,San Lorenzo
Alameda,San Lorenzo,San Lorenzo
Alameda,San Pablo,San Pablo
Alameda,South Shore,South Shore
Alameda,SUNOL,Sunol
Alameda,Sunol,Sunol
Alameda,UNION CITY,Union City
Alameda,Union City,Union City
Alameda,Union City (UNC),Union City
Alameda,Union City (UNC),Union City
Amador,,Amador County
Amador,Amador City,Amador City
Amador,Drytown,Drytown
Amador,Fiddletown,Fiddletown
Amador,Ione,Ione
Amador,Jackson,Jackson
Amador,Kirkwood,Kirkwood
Amador,Lake Camanche,Lake Camanche
Amador,Out Of Area,Out of Area
Amador,Pine Grove,Pine Grove
Amador,Pioneer,Pioneer
Amador,Pioneer (PIO),Pioneer
Amador,Plymouth,Plymouth
Amador,River Pines,River Pines
Amador,Sutter Cr,Sutter Creek
Amador,Sutter Creek,Sutter Creek
Amador,Volcano,Volcano
Butte,Bangor,Bangor
Butte,Berry Creek,Berry Creek
Butte,Biggs,Biggs
Butte,Brush Creek,Brush Creek
Butte,Butte Meadows,Butte Meadows
Butte,Butte Valley,Butte Valley
Butte,Carpinteria (CPTA),Carpinteria
Butte,Cherokee,Cherokee
Butte,Chico,Chico
Butte,CHICO,Chico
Butte,Clipper Mills,Clipper Mills
Butte,Cohasset,Cohasset
Butte,Concow,Concow
Butte,Dayton,Dayton
Butte,Durham,Durham
Butte,East Biggs,Biggs
Butte,East Gridley,Gridley
Butte,Feather Falls,Feather Falls
Butte,Forbestown,Forbestown
Butte,Forest Ranch,Forest Ranch
Butte,Gridley,Gridley
Butte,GRIDLEY,Gridley
Butte,Honcut,Honcut
Butte,Inskip,Inskip
Butte,Magalia,Magalia
Butte,Nelson,Nelson
Butte,Nord,Nord
Butte,Orland,Orland
Butte,Oroville,Oroville
Butte,OROVILLE,Oroville
Butte,Oroville (OROVI),Oroville
Butte,Out Of Area,Out of Area
Butte,Out of Area - in CA,Out of Area
Butte,Out of Area (OA),Out of Area
Butte,Palermo,Palermo
Butte,Paradise,Paradise
Butte,PARADISE,Paradise
Butte,PARDISE,Paradise
Butte,Pomona (POM),Pomona
Butte,Redding,Redding
Butte,Richvale,Richvale
